Date,irr_mm,ano,chuva_mm,temp_max_c,chuva_acum_3d_mm,tmax_max_3d_c,tensao_solo_kpa,dap,classe_irrigacao,cenario
2019-05-04,0.0,2019,0.0,34.5,0.0,34.7,317.0213430765485,1,0,cenario2_deficit
2019-05-05,0.0,2019,0.0,34.4,0.0,35.3,330.3444066003959,2,0,cenario2_deficit
2019-05-06,0.0,2019,0.0,34.7,0.0,35.3,291.1842648777272,3,0,cenario2_deficit
2019-05-07,0.0,2019,0.0,35.3,0.6,35.3,269.87429578375736,4,0,cenario2_deficit
2019-05-08,0.0,2019,0.0,34.8,0.6,34.9,249.39380728688374,5,0,cenario2_deficit
2019-05-09,0.0,2019,0.6,34.9,0.6,35.5,229.9628600582792,6,0,cenario2_deficit
2019-05-10,0.0,2019,0.0,32.2,0.0,35.5,226.95777154115234,7,0,cenario2_deficit
2019-05-11,0.0,2019,0.0,35.5,0.2,35.5,213.8613855945497,8,0,cenario2_deficit
2019-05-12,0.0,2019,0.0,35.0,1.0,35.0,200.24844958425302,9,0,cenario2_deficit
2019-05-13,0.0,2019,0.2,34.5,1.0,34.8,185.59350841307509,10,0,cenario2_deficit
2019-05-14,0.0,2019,0.8,34.8,13.600000000000001,34.8,171.0917340610681,11,0,cenario2_deficit
2019-05-15,0.0,2019,0.0,34.2,32.8,34.2,166.2439485900594,12,0,cenario2_deficit
2019-05-16,0.0,2019,12.8,29.5,33.6,31.9,153.03027331056006,13,0,cenario2_deficit
2019-05-17,0.0,2019,20.0,31.9,22.4,33.0,119.7713471307102,14,0,cenario2_deficit
2019-05-18,0.0,2019,0.8,31.9,2.4000000000000004,33.1,85.89146673589254,15,0,cenario2_deficit
2019-05-19,0.0,2019,1.6,33.0,1.6,33.9,87.28349703887207,16,0,cenario2_deficit
2019-05-20,0.0,2019,0.0,33.1,0.0,34.3,92.51579219125881,17,0,cenario2_deficit
2019-05-21,0.0,2019,0.0,33.9,0.0,34.3,94.0839104690186,18,0,cenario2_deficit
2019-05-22,0.0,2019,0.0,34.3,0.0,34.3,88.65488640652042,19,0,cenario2_deficit
2019-05-23,0.0,2019,0.0,34.2,0.0,34.2,87.4324535503994,20,0,cenario2_deficit
2019-05-24,0.0,2019,0.0,33.8,0.0,34.7,81.29082873412196,21,0,cenario2_deficit
2019-05-25,0.0,2019,0.0,34.2,0.0,34.7,79.72203509105836,22,0,cenario2_deficit
2019-05-26,0.0,2019,0.0,34.7,0.0,34.7,78.22161554734325,23,0,cenario2_deficit
2019-05-27,0.0,2019,0.0,33.7,0.0,35.1,72.72699889521017,24,0,cenario2_deficit
2019-05-28,0.0,2019,0.0,34.1,0.0,35.1,71.11529500263975,25,0,cenario2_deficit
2019-05-29,0.0,2019,0.0,35.1,0.2,35.1,69.64101678015933,26,0,cenario2_deficit
2019-05-30,0.0,2019,0.0,34.0,0.2,34.0,68.24715625439256,27,0,cenario2_deficit
2019-05-31,0.0,2019,0.2,33.4,0.2,35.2,63.23716466716352,28,0,cenario2_deficit
2019-06-01,0.0,2019,0.0,34.0,3.8,35.2,61.79059393681095,29,0,cenario2_deficit
2019-06-02,0.0,2019,0.0,35.2,3.8,35.2,60.406535640545606,30,0,cenario2_deficit
2019-06-03,0.0,2019,3.8,33.1,3.8,35.2,59.12544703447652,31,0,cenario2_deficit
2019-06-04,0.0,2019,0.0,34.4,0.0,35.2,57.64641587093964,32,0,cenario2_deficit
2019-06-05,0.0,2019,0.0,35.2,0.0,35.2,53.49274423907326,33,0,cenario2_deficit
2019-06-06,0.0,2019,0.0,33.3,0.0,34.6,52.434861401066044,34,0,cenario2_deficit
2019-06-07,0.0,2019,0.0,33.7,0.0,34.6,51.21044211975224,35,0,cenario2_deficit
2019-06-08,0.0,2019,0.0,34.6,0.0,34.6,50.02679908382454,36,0,cenario2_deficit
2019-06-09,0.0,2019,0.0,33.7,0.0,34.0,48.94199231846498,37,0,cenario2_deficit
2019-06-10,0.0,2019,0.0,34.0,0.0,34.2,47.78749391666878,38,0,cenario2_deficit
2019-06-11,0.0,2019,0.0,33.5,0.0,34.2,46.67159645086477,39,0,cenario2_deficit
2019-06-12,0.0,2019,0.0,34.2,0.0,34.2,45.53736521636887,40,0,cenario2_deficit
2019-06-13,0.0,2019,0.0,33.0,0.0,34.2,42.13286486561523,41,0,cenario2_deficit
2019-06-14,0.0,2019,0.0,33.5,0.0,34.5,41.04889724040621,42,0,cenario2_deficit
2019-06-15,0.0,2019,0.0,34.2,0.0,34.5,40.0123056737632,43,0,cenario2_deficit
2019-06-16,0.0,2019,0.0,34.5,0.0,34.5,38.99239144041487,44,0,cenario2_deficit
2019-06-17,0.0,2019,0.0,34.4,0.0,34.4,38.01699142276129,45,0,cenario2_deficit
2019-06-18,0.0,2019,0.0,33.6,0.0,34.5,37.09308775559932,46,0,cenario2_deficit
2019-06-19,0.0,2019,0.0,34.4,0.0,34.5,36.07721157208339,47,0,cenario2_deficit
2019-06-20,0.0,2019,0.0,34.5,0.0,34.5,35.11480885099525,48,0,cenario2_deficit
2019-06-21,0.0,2019,0.0,34.0,0.0,34.3,34.244747746857016,49,0,cenario2_deficit
2019-06-22,0.0,2019,0.0,33.9,0.0,34.3,33.388110687089366,50,0,cenario2_deficit
2019-06-23,0.0,2019,0.0,34.3,0.0,34.3,33.0,51,0,cenario2_deficit
2019-06-24,0.0,2019,0.0,33.7,0.0,34.7,33.0,52,0,cenario2_deficit
2019-06-25,0.0,2019,0.0,34.3,0.0,35.1,33.0,53,0,cenario2_deficit
2019-06-26,0.0,2019,0.0,34.7,0.0,35.1,33.0,54,0,cenario2_deficit
2019-06-27,0.0,2019,0.0,35.1,0.0,35.1,33.0,55,0,cenario2_deficit
2019-06-28,0.0,2019,0.0,34.4,0.0,35.1,33.94576051125642,56,0,cenario2_deficit
2019-06-29,0.0,2019,0.0,35.1,0.0,35.6,34.97821748539548,57,0,cenario2_deficit
2019-06-30,0.0,2019,0.0,34.4,0.0,35.6,36.03329812609308,58,0,cenario2_deficit
2019-07-01,0.0,2019,0.0,35.6,0.0,35.6,37.08405336025165,59,0,cenario2_deficit
2019-07-02,0.0,2019,0.0,34.8,0.0,35.4,38.23058182245302,60,0,cenario2_deficit
2019-07-03,0.0,2019,0.0,35.1,0.0,35.4,39.37417425282399,61,0,cenario2_deficit
2019-07-04,0.0,2019,0.0,35.4,0.0,35.4,40.571735898108585,62,0,cenario2_deficit
2019-07-05,0.0,2019,0.0,34.0,0.0,35.0,41.80572126329256,63,0,cenario2_deficit
2019-07-06,0.0,2019,0.0,35.0,24.6,35.0,42.96196776658529,64,0,cenario2_deficit
2019-07-07,0.0,2019,0.0,31.0,24.8,32.5,44.21476767245356,65,0,cenario2_deficit
2019-07-08,0.0,2019,24.6,30.7,24.8,32.5,45.16177987776994,66,0,cenario2_deficit
2019-07-09,0.0,2019,0.2,32.5,0.2,33.2,33.0,67,0,cenario2_deficit
2019-07-10,0.0,2019,0.0,32.2,0.0,34.1,33.83019393170804,68,0,cenario2_deficit
2019-07-11,0.0,2019,0.0,33.2,0.0,34.1,36.262233210088105,69,0,cenario2_deficit
2019-07-12,0.0,2019,0.0,34.1,0.0,34.1,38.29582547440476,70,0,cenario2_deficit
2019-07-13,0.0,2019,0.0,34.0,0.0,34.1,39.944137696893,71,0,cenario2_deficit
2019-07-14,0.0,2019,0.0,33.3,0.0,34.1,41.51144199374185,72,0,cenario2_deficit
2019-07-15,0.0,2019,0.0,34.1,0.0,34.1,43.024804242637416,73,0,cenario2_deficit
2019-07-16,0.0,2019,0.0,34.0,0.0,34.0,44.68032296121453,74,0,cenario2_deficit
2019-07-17,0.0,2019,0.0,32.6,0.0,33.9,46.32049336985522,75,0,cenario2_deficit
2019-07-18,0.0,2019,0.0,33.2,0.0,33.9,47.85738824118856,76,0,cenario2_deficit
2019-07-19,0.0,2019,0.0,33.9,0.0,33.9,49.48142294314029,77,0,cenario2_deficit
2019-07-20,0.0,2019,0.0,33.8,0.0,34.4,51.310334126534364,78,0,cenario2_deficit
2019-07-21,1.0491251987175723,2019,0.0,33.9,0.0,34.4,53.219806962895625,79,1,cenario2_deficit
2019-07-22,3.04026067536661,2019,0.0,34.4,0.0,34.5,53.71471834761107,80,2,cenario2_deficit
2019-07-23,2.9928089675692995,2019,0.0,34.4,0.0,35.3,53.71471834761107,81,2,cenario2_deficit
2019-07-24,3.0518204448228587,2019,0.0,34.5,0.0,36.0,53.71471834761107,82,2,cenario2_deficit
2019-07-25,3.1081997877036347,2019,0.0,35.3,0.0,36.0,53.71471834761107,83,2,cenario2_deficit
2019-07-26,3.3074284895804222,2019,0.0,36.0,0.0,36.0,53.71471834761107,84,2,cenario2_deficit
2019-07-27,3.0685705248100437,2019,0.0,34.3,0.0,34.8,53.71471834761107,85,2,cenario2_deficit
2019-07-28,3.021527661969309,2019,0.0,34.4,0.0,36.1,53.71471834761107,86,2,cenario2_deficit
2019-07-29,3.0345860079492404,2019,0.0,34.8,0.0,36.1,53.71471834761107,87,2,cenario2_deficit
2019-07-30,3.1993689825667957,2019,0.0,36.1,0.0,36.1,53.71471834761107,88,2,cenario2_deficit
2019-07-31,3.2507796805522737,2019,0.0,36.0,0.0,36.0,53.71471834761107,89,2,cenario2_deficit
2019-08-01,3.031099249657282,2019,0.0,35.2,0.0,36.1,53.71471834761107,90,2,cenario2_deficit
2019-08-02,2.8854389718792497,2019,0.0,34.9,0.0,36.1,53.71471834761107,91,2,cenario2_deficit
2019-08-03,3.046706231150162,2019,0.0,36.1,0.0,36.1,53.71471834761107,92,2,cenario2_deficit
2019-08-04,2.9483957540947974,2019,0.0,35.2,0.0,35.2,53.71471834761107,93,2,cenario2_deficit
2019-08-05,2.7439907472364413,2019,0.0,34.3,0.0,34.7,53.71471834761107,94,2,cenario2_deficit
2019-08-06,2.80244641402371,2019,0.0,34.7,0.0,35.0,53.71471834761107,95,2,cenario2_deficit
2019-08-07,2.7004086201447315,2019,0.0,33.5,0.0,35.4,53.71471834761107,96,2,cenario2_deficit
2019-08-08,2.8795579384270926,2019,0.0,35.0,0.0,36.0,53.71471834761107,97,2,cenario2_deficit
2019-08-09,2.879804334311478,2019,0.0,35.4,0.0,36.7,53.71471834761107,98,2,cenario2_deficit
2019-08-10,2.912976466876334,2019,0.0,36.0,0.0,36.7,53.71471834761107,99,2,cenario2_deficit
2019-08-11,3.0342641928141916,2019,0.0,36.7,0.0,36.7,53.71471834761107,100,2,cenario2_deficit
2019-08-12,2.852195219619605,2019,0.0,36.5,0.0,36.6,53.71471834761107,101,2,cenario2_deficit
2019-08-13,2.7388353774663425,2019,0.0,36.4,0.0,36.6,53.71471834761107,102,2,cenario2_deficit
2019-08-14,2.6366287956533956,2019,0.0,36.6,0.0,36.6,53.71471834761107,103,2,cenario2_deficit
2019-08-15,2.535335390049633,2019,0.0,35.9,0.0,35.9,53.71471834761107,104,2,cenario2_deficit
2019-08-16,2.4772714831985456,2019,0.0,35.3,0.0,36.5,53.71471834761107,105,2,cenario2_deficit
2019-08-17,2.608376894489585,2019,0.0,35.4,0.0,37.0,53.71471834761107,106,2,cenario2_deficit
2019-08-18,2.52800846125283,2019,0.0,36.5,0.0,37.0,53.71471834761107,107,2,cenario2_deficit
2020-05-04,0.0,2020,1.2,34.4,1.2,34.4,383.4513249987101,1,0,cenario2_deficit
2020-05-05,0.0,2020,0.0,34.1,0.0,34.5,411.919554528989,2,0,cenario2_deficit
2020-05-06,0.0,2020,0.0,34.3,5.4,34.5,367.44898200636374,3,0,cenario2_deficit
2020-05-07,0.0,2020,0.0,34.5,7.0,34.5,341.3882463530437,4,0,cenario2_deficit
2020-05-08,0.0,2020,5.4,32.8,7.0,33.1,315.0198858749203,5,0,cenario2_deficit
2020-05-09,0.0,2020,1.6,32.3,1.6,33.7,286.47055803392374,6,0,cenario2_deficit
2020-05-10,0.0,2020,0.0,33.1,0.0,33.9,261.97218413394603,7,0,cenario2_deficit
2020-05-11,0.0,2020,0.0,33.7,0.0,35.7,240.15313737008282,8,0,cenario2_deficit
2020-05-12,0.0,2020,0.0,33.9,0.0,35.7,220.2049808105968,9,0,cenario2_deficit
2020-05-13,0.0,2020,0.0,35.7,0.0,35.7,201.91380427010827,10,0,cenario2_deficit
2020-05-14,0.0,2020,0.0,34.7,0.0,34.7,185.27731733696177,11,0,cenario2_deficit
2020-05-15,0.0,2020,0.0,34.7,0.0,34.7,178.97819302134624,12,0,cenario2_deficit
2020-05-16,0.0,2020,0.0,33.5,0.0,34.5,163.59262706909345,13,0,cenario2_deficit
2020-05-17,0.0,2020,0.0,33.8,2.0,34.5,149.20220004358075,14,0,cenario2_deficit
2020-05-18,0.0,2020,0.0,34.5,2.6,34.5,143.5339602550644,15,0,cenario2_deficit
2020-05-19,0.0,2020,2.0,33.2,2.6,34.2,130.84423389340895,16,0,cenario2_deficit
2020-05-20,0.0,2020,0.6,34.2,0.6,34.6,125.41433628196488,17,0,cenario2_deficit
2020-05-21,0.0,2020,0.0,34.0,0.0,35.0,120.3562722260869,18,0,cenario2_deficit
2020-05-22,0.0,2020,0.0,34.6,0.0,35.0,109.55543078533964,19,0,cenario2_deficit
2020-05-23,0.0,2020,0.0,35.0,9.0,35.0,105.13696952317815,20,0,cenario2_deficit
2020-05-24,0.0,2020,0.0,33.9,9.0,33.9,95.60871449638952,21,0,cenario2_deficit
2020-05-25,0.0,2020,9.0,31.9,9.2,33.0,91.73038854993774,22,0,cenario2_deficit
2020-05-26,0.0,2020,0.0,27.6,0.4,33.0,83.234456907909,23,0,cenario2_deficit
2020-05-27,0.0,2020,0.2,33.0,2.4,33.4,75.2866202625347,24,0,cenario2_deficit
2020-05-28,0.0,2020,0.2,33.0,2.1999999999999997,33.4,72.28545592616953,25,0,cenario2_deficit
2020-05-29,0.0,2020,2.0,33.4,2.0,33.4,69.40392755357135,26,0,cenario2_deficit
2020-05-30,0.0,2020,0.0,33.4,0.0,33.4,66.50753528336098,27,0,cenario2_deficit
2020-05-31,0.0,2020,0.0,33.4,0.0,34.1,60.55385912542689,28,0,cenario2_deficit
2020-06-01,0.0,2020,0.0,33.2,0.0,34.2,58.1683210563733,29,0,cenario2_deficit
2020-06-02,0.0,2020,0.0,34.1,0.0,34.5,55.86315265122905,30,0,cenario2_deficit
2020-06-03,0.0,2020,0.0,34.2,0.0,34.5,53.67547962317558,31,0,cenario2_deficit
2020-06-04,0.0,2020,0.0,34.5,0.0,34.5,51.57347868934771,32,0,cenario2_deficit
2020-06-05,0.0,2020,0.0,32.9,0.0,34.6,46.991008712285876,33,0,cenario2_deficit
2020-06-06,0.0,2020,0.0,34.4,0.0,34.7,45.10680862874402,34,0,cenario2_deficit
2020-06-07,0.0,2020,0.0,34.6,0.0,34.7,43.36148757266582,35,0,cenario2_deficit
2020-06-08,0.0,2020,0.0,34.7,0.0,34.7,41.70401074255221,36,0,cenario2_deficit
2020-06-09,0.0,2020,0.0,34.3,0.0,34.7,40.09035439477184,37,0,cenario2_deficit
2020-06-10,0.0,2020,0.0,33.6,0.0,34.7,38.52036446702619,38,0,cenario2_deficit
2020-06-11,0.0,2020,0.0,34.7,0.0,34.7,37.00284275664979,39,0,cenario2_deficit
2020-06-12,0.0,2020,0.0,34.0,0.0,34.5,35.57108904670595,40,0,cenario2_deficit
2020-06-13,0.0,2020,0.0,34.5,0.0,34.5,33.0,41,0,cenario2_deficit
2020-06-14,0.0,2020,0.0,34.5,0.0,34.5,33.0,42,0,cenario2_deficit
2020-06-15,0.0,2020,0.0,34.5,0.0,34.5,33.0,43,0,cenario2_deficit
2020-06-16,0.0,2020,0.0,34.2,0.0,34.3,33.0,44,0,cenario2_deficit
2020-06-17,0.0,2020,0.0,34.3,0.0,34.3,33.0,45,0,cenario2_deficit
2020-06-18,0.0,2020,0.0,34.2,0.0,34.3,33.0,46,0,cenario2_deficit
2020-06-19,0.0,2020,0.0,33.7,0.0,34.3,33.0,47,0,cenario2_deficit
2020-06-20,0.0,2020,0.0,34.3,0.0,34.3,33.0,48,0,cenario2_deficit
2020-06-21,0.0,2020,0.0,34.1,0.0,34.4,33.0,49,0,cenario2_deficit
2020-06-22,0.0,2020,0.0,33.5,0.0,34.4,33.0,50,0,cenario2_deficit
2020-06-23,0.0,2020,0.0,34.4,0.0,34.4,33.0,51,0,cenario2_deficit
2020-06-24,0.0,2020,0.0,34.3,0.0,34.4,33.0,52,0,cenario2_deficit
2020-06-25,0.0,2020,0.0,34.3,0.0,35.6,33.0,53,0,cenario2_deficit
2020-06-26,0.0,2020,0.0,34.4,0.0,35.9,33.0,54,0,cenario2_deficit
2020-06-27,0.0,2020,0.0,35.6,0.0,35.9,33.0,55,0,cenario2_deficit
2020-06-28,0.0,2020,0.0,35.9,0.0,35.9,33.0,56,0,cenario2_deficit
2020-06-29,0.0,2020,0.0,34.4,0.0,36.0,33.0,57,0,cenario2_deficit
2020-06-30,0.0,2020,0.0,33.9,0.0,36.4,33.0,58,0,cenario2_deficit
2020-07-01,0.0,2020,0.0,36.0,0.0,36.4,33.0,59,0,cenario2_deficit
2020-07-02,0.0,2020,0.0,36.4,0.0,36.4,33.0,60,0,cenario2_deficit
2020-07-03,0.0,2020,0.0,34.6,0.0,35.6,33.0,61,0,cenario2_deficit
2020-07-04,0.0,2020,0.0,35.6,0.0,35.6,33.0,62,0,cenario2_deficit
2020-07-05,0.0,2020,0.0,35.1,0.0,36.3,33.0,63,0,cenario2_deficit
2020-07-06,0.0,2020,0.0,35.2,0.0,36.3,33.0,64,0,cenario2_deficit
2020-07-07,0.0,2020,0.0,36.3,0.0,36.6,33.0,65,0,cenario2_deficit
2020-07-08,0.0,2020,0.0,35.2,0.0,36.6,33.0,66,0,cenario2_deficit
2020-07-09,0.0,2020,0.0,36.6,0.0,36.6,33.0,67,0,cenario2_deficit
2020-07-10,0.0,2020,0.0,35.0,0.0,36.0,33.0,68,0,cenario2_deficit
2020-07-11,0.0,2020,0.0,32.1,0.0,36.0,33.0,69,0,cenario2_deficit
2020-07-12,0.0,2020,0.0,36.0,0.0,36.0,33.0,70,0,cenario2_deficit
2020-07-13,0.0,2020,0.0,35.7,0.0,35.7,33.0,71,0,cenario2_deficit
2020-07-14,0.0,2020,0.0,35.7,0.0,35.7,33.0,72,0,cenario2_deficit
2020-07-15,0.0,2020,0.0,35.7,0.0,35.7,33.0,73,0,cenario2_deficit
2020-07-16,0.0,2020,0.0,34.9,0.0,35.3,33.0,74,0,cenario2_deficit
2020-07-17,0.0,2020,0.0,35.2,0.0,35.3,33.0,75,0,cenario2_deficit
2020-07-18,0.0,2020,0.0,35.3,0.0,35.3,33.0,76,0,cenario2_deficit
2020-07-19,0.0,2020,0.0,35.3,0.0,35.3,33.0,77,0,cenario2_deficit
2020-07-20,0.0,2020,0.0,34.8,0.0,35.3,33.0,78,0,cenario2_deficit
2020-07-21,0.0,2020,0.0,34.9,0.0,35.5,33.0,79,0,cenario2_deficit
2020-07-22,0.0,2020,0.0,35.3,0.0,35.5,33.0,80,0,cenario2_deficit
2020-07-23,0.0,2020,0.0,35.5,0.0,35.5,33.0,81,0,cenario2_deficit
2020-07-24,0.0,2020,0.0,35.0,0.0,35.5,33.0,82,0,cenario2_deficit
2020-07-25,0.0,2020,0.0,35.5,0.0,35.5,33.0,83,0,cenario2_deficit
2020-07-26,0.0,2020,0.0,35.3,0.0,35.4,33.0,84,0,cenario2_deficit
2020-07-27,0.0,2020,0.0,35.4,0.0,35.4,33.0,85,0,cenario2_deficit
2020-07-28,0.0,2020,0.0,35.3,0.0,37.2,33.0,86,0,cenario2_deficit
2020-07-29,0.0,2020,0.0,35.2,0.0,37.2,33.0,87,0,cenario2_deficit
2020-07-30,0.0,2020,0.0,37.2,0.0,37.2,33.0,88,0,cenario2_deficit
2020-07-31,0.0,2020,0.0,36.0,0.0,36.1,33.0,89,0,cenario2_deficit
2020-08-01,0.0,2020,0.0,36.1,0.0,36.1,33.0,90,0,cenario2_deficit
2020-08-02,0.0,2020,0.0,36.1,0.0,36.1,33.0,91,0,cenario2_deficit
2020-08-03,0.0,2020,0.0,35.3,0.0,36.1,33.0,92,0,cenario2_deficit
2020-08-04,0.0,2020,0.0,36.1,0.0,36.1,33.0,93,0,cenario2_deficit
2020-08-05,0.0,2020,0.0,35.5,0.0,35.5,33.28254889762607,94,0,cenario2_deficit
2020-08-06,0.0,2020,0.0,35.3,0.0,36.0,33.67398262249707,95,0,cenario2_deficit
2020-08-07,0.0,2020,0.0,35.5,0.0,36.8,34.06172187524901,96,0,cenario2_deficit
2020-08-08,0.0,2020,0.0,36.0,0.0,36.8,34.462319398899,97,0,cenario2_deficit
2020-08-09,0.0,2020,0.0,36.8,0.0,36.8,34.87612275312616,98,0,cenario2_deficit
2020-08-10,0.0,2020,0.0,36.1,0.0,36.8,35.29489481575591,99,0,cenario2_deficit
2020-08-11,0.0,2020,0.0,36.8,0.0,37.0,35.683909366582256,100,0,cenario2_deficit
2020-08-12,0.0,2020,0.0,36.6,0.0,37.0,36.086000681224654,101,0,cenario2_deficit
2020-08-13,0.0,2020,0.0,37.0,0.0,37.0,36.46596487309447,102,0,cenario2_deficit
