tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,classe_irrigacao
317.0213430765485,0.0,34.7,1,0
330.3444066003959,0.0,35.3,2,0
291.1842648777272,0.0,35.3,3,0
269.87429578375736,0.6,35.3,4,0
249.39380728688374,0.6,34.9,5,0
229.9628600582792,0.6,35.5,6,0
226.95777154115234,0.0,35.5,7,0
213.8613855945497,0.2,35.5,8,0
200.24844958425302,1.0,35.0,9,0
185.59350841307509,1.0,34.8,10,0
171.0917340610681,13.600000000000001,34.8,11,0
166.2439485900594,32.8,34.2,12,0
153.03027331056006,33.6,31.9,13,0
119.7713471307102,22.4,33.0,14,0
85.89146673589254,2.4000000000000004,33.1,15,0
87.28349703887207,1.6,33.9,16,0
92.51579219125881,0.0,34.3,17,0
94.0839104690186,0.0,34.3,18,0
88.65488640652042,0.0,34.3,19,0
87.4324535503994,0.0,34.2,20,0
81.29082873412196,0.0,34.7,21,0
79.72203509105836,0.0,34.7,22,0
78.22161554734325,0.0,34.7,23,0
72.72699889521017,0.0,35.1,24,0
71.11529500263975,0.0,35.1,25,0
69.64101678015933,0.2,35.1,26,1
67.27333665358306,0.2,34.0,27,2
61.07232658430249,0.2,35.2,28,2
58.6949513408174,3.8,35.2,29,3
56.53392468131825,3.8,35.2,30,3
54.41268490366414,3.8,35.2,31,2
52.25634963730087,0.0,35.2,32,3
47.98579345265817,0.0,35.2,33,3
45.96083463051451,0.0,34.6,34,3
43.605104889956465,0.0,34.6,35,3
41.53167044380729,0.0,34.6,36,3
39.730650633952806,0.0,34.0,37,3
38.16544932449961,0.0,34.2,38,3
36.71553157298829,0.0,34.2,39,3
35.30349333734742,0.0,34.2,40,3
33.0,0.0,34.2,41,3
33.0,0.0,34.5,42,3
33.0,0.0,34.5,43,3
33.0,0.0,34.5,44,3
33.0,0.0,34.4,45,3
33.0,0.0,34.5,46,3
33.0,0.0,34.5,47,3
33.0,0.0,34.5,48,3
33.0,0.0,34.3,49,3
33.0,0.0,34.3,50,3
33.0,0.0,34.3,51,3
33.0,0.0,34.7,52,3
33.0,0.0,35.1,53,3
33.0,0.0,35.1,54,3
33.0,0.0,35.1,55,3
33.0,0.0,35.1,56,3
33.0,0.0,35.6,57,3
33.0,0.0,35.6,58,3
33.0,0.0,35.6,59,3
33.0,0.0,35.4,60,3
33.0,0.0,35.4,61,3
33.0,0.0,35.4,62,3
33.0,0.0,35.0,63,3
33.0,24.6,35.0,64,3
33.0,24.8,32.5,65,3
33.0,24.8,32.5,66,0
33.0,0.2,33.2,67,0
33.0,0.0,34.1,68,0
33.0,0.0,34.1,69,0
33.0,0.0,34.1,70,2
33.0,0.0,34.1,71,2
33.0,0.0,34.1,72,2
33.0,0.0,34.1,73,3
33.0,0.0,34.0,74,2
33.0,0.0,33.9,75,2
33.0,0.0,33.9,76,2
33.0,0.0,33.9,77,3
33.0,0.0,34.4,78,3
33.0,0.0,34.4,79,3
33.0,0.0,34.5,80,3
33.0,0.0,35.3,81,3
33.0,0.0,36.0,82,3
33.0,0.0,36.0,83,3
33.0,0.0,36.0,84,3
33.0,0.0,34.8,85,3
33.0,0.0,36.1,86,3
33.0,0.0,36.1,87,3
33.0,0.0,36.1,88,3
33.0,0.0,36.0,89,3
33.0,0.0,36.1,90,3
33.0,0.0,36.1,91,3
33.0,0.0,36.1,92,3
33.0,0.0,35.2,93,3
33.0,0.0,34.7,94,3
33.0,0.0,35.0,95,3
33.0,0.0,35.4,96,3
33.0,0.0,36.0,97,3
33.0,0.0,36.7,98,3
33.0,0.0,36.7,99,3
33.0,0.0,36.7,100,3
33.0,0.0,36.6,101,3
33.0,0.0,36.6,102,3
33.0,0.0,36.6,103,3
33.0,0.0,35.9,104,3
33.0,0.0,36.5,105,2
33.0,0.0,37.0,106,3
33.0,0.0,37.0,107,3
383.4513249987101,1.2,34.4,1,1
401.71317169061365,0.0,34.5,2,2
345.2350571766389,5.4,34.5,3,2
317.7171137986855,7.0,34.5,4,2
294.3219476209603,7.0,33.1,5,2
271.65508791485206,1.6,33.7,6,2
247.03578446035448,0.0,33.9,7,2
224.2649295702589,0.0,35.7,8,2
206.2887305841143,0.0,35.7,9,2
190.91250875860916,0.0,35.7,10,3
176.08088422036897,0.0,34.7,11,3
168.77371336385252,0.0,34.7,12,2
152.24946337896574,0.0,34.5,13,2
139.12769449549805,2.0,34.5,14,2
134.2339917969809,2.6,34.5,15,2
123.95649265968189,2.6,34.2,16,2
119.16023499363452,0.6,34.6,17,3
114.21521100504859,0.0,35.0,18,3
103.7883485414737,0.0,35.0,19,2
98.8531846995816,9.0,35.0,20,2
90.35543328578652,9.0,33.9,21,2
87.11357174357633,9.2,33.0,22,0
81.25123515523975,0.4,33.0,23,1
77.04914452909739,2.4,33.4,24,3
74.01376957336656,2.1999999999999997,33.4,25,3
70.90772304713404,2.0,33.4,26,2
67.27333665358306,0.0,33.4,27,2
61.07232658430249,0.0,34.1,28,2
58.6949513408174,0.0,34.2,29,2
56.53392468131825,0.0,34.5,30,3
54.41268490366414,0.0,34.5,31,3
