Date,irr_mm,ano,chuva_mm,temp_max_c,chuva_acum_3d_mm,tmax_max_3d_c,tensao_solo_kpa,dap,classe_irrigacao,cenario
2019-05-04,0.0,2019,0.0,34.5,0.0,34.7,317.0213430765485,1,0,cenario1_otimo
2019-05-05,0.0,2019,0.0,34.4,0.0,35.3,330.3444066003959,2,0,cenario1_otimo
2019-05-06,0.0,2019,0.0,34.7,0.0,35.3,291.1842648777272,3,0,cenario1_otimo
2019-05-07,0.0,2019,0.0,35.3,0.6,35.3,269.87429578375736,4,0,cenario1_otimo
2019-05-08,0.0,2019,0.0,34.8,0.6,34.9,249.39380728688374,5,0,cenario1_otimo
2019-05-09,0.0,2019,0.6,34.9,0.6,35.5,229.9628600582792,6,0,cenario1_otimo
2019-05-10,0.0,2019,0.0,32.2,0.0,35.5,226.95777154115234,7,0,cenario1_otimo
2019-05-11,0.0,2019,0.0,35.5,0.2,35.5,213.8613855945497,8,0,cenario1_otimo
2019-05-12,0.0,2019,0.0,35.0,1.0,35.0,200.24844958425302,9,0,cenario1_otimo
2019-05-13,0.0,2019,0.2,34.5,1.0,34.8,185.59350841307509,10,0,cenario1_otimo
2019-05-14,0.0,2019,0.8,34.8,13.600000000000001,34.8,171.0917340610681,11,0,cenario1_otimo
2019-05-15,0.0,2019,0.0,34.2,32.8,34.2,166.2439485900594,12,0,cenario1_otimo
2019-05-16,0.0,2019,12.8,29.5,33.6,31.9,153.03027331056006,13,0,cenario1_otimo
2019-05-17,0.0,2019,20.0,31.9,22.4,33.0,119.7713471307102,14,0,cenario1_otimo
2019-05-18,0.0,2019,0.8,31.9,2.4000000000000004,33.1,85.89146673589254,15,0,cenario1_otimo
2019-05-19,0.0,2019,1.6,33.0,1.6,33.9,87.28349703887207,16,0,cenario1_otimo
2019-05-20,0.0,2019,0.0,33.1,0.0,34.3,92.51579219125881,17,0,cenario1_otimo
2019-05-21,0.0,2019,0.0,33.9,0.0,34.3,94.0839104690186,18,0,cenario1_otimo
2019-05-22,0.0,2019,0.0,34.3,0.0,34.3,88.65488640652042,19,0,cenario1_otimo
2019-05-23,0.0,2019,0.0,34.2,0.0,34.2,87.4324535503994,20,0,cenario1_otimo
2019-05-24,0.0,2019,0.0,33.8,0.0,34.7,81.29082873412196,21,0,cenario1_otimo
2019-05-25,0.0,2019,0.0,34.2,0.0,34.7,79.72203509105836,22,0,cenario1_otimo
2019-05-26,0.0,2019,0.0,34.7,0.0,34.7,78.22161554734325,23,0,cenario1_otimo
2019-05-27,0.0,2019,0.0,33.7,0.0,35.1,72.72699889521017,24,0,cenario1_otimo
2019-05-28,0.0,2019,0.0,34.1,0.0,35.1,71.11529500263975,25,0,cenario1_otimo
2019-05-29,0.20744878451919885,2019,0.0,35.1,0.2,35.1,69.64101678015933,26,1,cenario1_otimo
2019-05-30,4.648958167851552,2019,0.0,34.0,0.2,34.0,67.27333665358306,27,2,cenario1_otimo
2019-05-31,4.801306226977087,2019,0.2,33.4,0.2,35.2,61.07232658430249,28,2,cenario1_otimo
2019-06-01,5.330959509231558,2019,0.0,34.0,3.8,35.2,58.6949513408174,29,3,cenario1_otimo
2019-06-02,5.848218392131157,2019,0.0,35.2,3.8,35.2,56.53392468131825,30,3,cenario1_otimo
2019-06-03,4.164314157204654,2019,3.8,33.1,3.8,35.2,54.41268490366414,31,2,cenario1_otimo
2019-06-04,6.310069531003908,2019,0.0,34.4,0.0,35.2,52.25634963730087,32,3,cenario1_otimo
2019-06-05,6.6001871829618555,2019,0.0,35.2,0.0,35.2,47.98579345265817,33,3,cenario1_otimo
2019-06-06,5.725794101950161,2019,0.0,33.3,0.0,34.6,45.96083463051451,34,3,cenario1_otimo
