Date,irr_mm,ano,chuva_mm,temp_max_c,chuva_acum_3d_mm,tmax_max_3d_c,tensao_solo_kpa,dap,classe_irrigacao,cenario
2019-05-17,0.0,2019,20.0,31.9,22.4,33.0,1449.6830532115832,14,0,cenario2_deficit_v2
2019-05-18,0.0,2019,0.8,31.9,2.4000000000000004,33.1,789.9130094303558,15,0,cenario2_deficit_v2
2019-05-19,0.0,2019,1.6,33.0,1.6,33.9,812.0867023358697,16,0,cenario2_deficit_v2
2019-05-20,0.0,2019,0.0,33.1,0.0,34.3,898.9181930805406,17,0,cenario2_deficit_v2
2019-05-21,0.0,2019,0.0,33.9,0.0,34.3,926.0399948571528,18,0,cenario2_deficit_v2
2019-05-22,0.0,2019,0.0,34.3,0.0,34.3,834.3084907419388,19,0,cenario2_deficit_v2
2019-05-23,0.0,2019,0.0,34.2,0.0,34.2,814.4821815409225,20,0,cenario2_deficit_v2
2019-05-24,0.0,2019,0.0,33.8,0.0,34.7,719.3131613878244,21,0,cenario2_deficit_v2
2019-05-25,0.0,2019,0.0,34.2,0.0,34.7,696.1606568604633,22,0,cenario2_deficit_v2
2019-05-26,0.0,2019,0.0,34.7,0.0,34.7,674.4460656777607,23,0,cenario2_deficit_v2
2019-05-27,0.0,2019,0.0,33.7,0.0,35.1,598.4173779656759,24,0,cenario2_deficit_v2
2019-05-28,0.0,2019,0.0,34.1,0.0,35.1,577.1309726319399,25,0,cenario2_deficit_v2
2019-05-29,0.0,2019,0.0,35.1,0.2,35.1,558.0526843588132,26,0,cenario2_deficit_v2
2019-05-30,0.0,2019,0.0,34.0,0.2,34.0,540.3559963101197,27,0,cenario2_deficit_v2
2019-05-31,0.0,2019,0.2,33.4,0.2,35.2,479.4225698488037,28,0,cenario2_deficit_v2
2019-06-01,0.0,2019,0.0,34.0,3.8,35.2,462.5897805769513,29,0,cenario2_deficit_v2
2019-06-02,0.0,2019,0.0,35.2,3.8,35.2,446.7963947759695,30,0,cenario2_deficit_v2
2019-06-03,0.0,2019,3.8,33.1,3.8,35.2,432.44665596190094,31,0,cenario2_deficit_v2
2019-06-04,0.0,2019,0.0,34.4,0.0,35.2,416.1971145962208,32,0,cenario2_deficit_v2
2019-06-05,0.0,2019,0.0,35.2,0.0,35.2,372.3453363749741,33,0,cenario2_deficit_v2
2019-06-06,0.0,2019,0.0,33.3,0.0,34.6,361.5889757120378,34,0,cenario2_deficit_v2
2019-06-07,0.0,2019,0.0,33.7,0.0,34.6,349.34431038325135,35,0,cenario2_deficit_v2
2019-06-08,0.0,2019,0.0,34.6,0.0,34.6,337.7144370496802,36,0,cenario2_deficit_v2
2019-06-09,0.0,2019,0.0,33.7,0.0,34.0,327.2326093460977,37,0,cenario2_deficit_v2
2019-06-10,0.0,2019,0.0,34.0,0.0,34.2,316.2614409961542,38,0,cenario2_deficit_v2
2019-06-11,0.0,2019,0.0,33.5,0.0,34.2,305.8357187387609,39,0,cenario2_deficit_v2
2019-06-12,0.0,2019,0.0,34.2,0.0,34.2,295.4168802181334,40,0,cenario2_deficit_v2
2019-06-13,0.0,2019,0.0,33.0,0.0,34.2,265.2050716818923,41,0,cenario2_deficit_v2
2019-06-14,0.0,2019,0.0,33.5,0.0,34.5,255.91463866257553,42,0,cenario2_deficit_v2
2019-06-15,0.0,2019,0.0,34.2,0.0,34.5,247.1764399032754,43,0,cenario2_deficit_v2
2019-06-16,0.0,2019,0.0,34.5,0.0,34.5,238.71705354862215,44,0,cenario2_deficit_v2
2019-06-17,0.0,2019,0.0,34.4,0.0,34.4,230.7540167636697,45,0,cenario2_deficit_v2
2019-06-18,0.0,2019,0.0,33.6,0.0,34.5,223.3250553538704,46,0,cenario2_deficit_v2
2019-06-19,0.0,2019,0.0,34.4,0.0,34.5,215.28312649561204,47,0,cenario2_deficit_v2
2019-06-20,0.0,2019,0.0,34.5,0.0,34.5,207.78576521230852,48,0,cenario2_deficit_v2
2019-06-21,0.0,2019,0.0,34.0,0.0,34.3,201.10847224564145,49,0,cenario2_deficit_v2
