Date,irr_mm,ano,chuva_mm,temp_max_c,chuva_acum_3d_mm,tmax_max_3d_c,tensao_solo_kpa,dap,classe_irrigacao,cenario
2019-05-17,0.0,2019,20.0,31.9,22.4,33.0,747.0959682095363,14,0,cenario3_excesso_v2
2019-05-18,0.0,2019,0.8,31.9,2.4000000000000004,33.1,469.0596921485455,15,0,cenario3_excesso_v2
2019-05-19,3.1902979983286306,2019,1.6,33.0,1.6,33.9,644.4165957370307,16,2,cenario3_excesso_v2
2019-05-20,7.682241303493457,2019,0.0,33.1,0.0,34.3,667.1202208316219,17,3,cenario3_excesso_v2
2019-05-21,7.887892535158999,2019,0.0,33.9,0.0,34.3,618.1918598840642,18,3,cenario3_excesso_v2
2019-05-22,8.151629860218645,2019,0.0,34.3,0.0,34.3,523.5323038461353,19,3,cenario3_excesso_v2
2019-05-23,8.050609078159079,2019,0.0,34.2,0.0,34.2,482.5120922288449,20,3,cenario3_excesso_v2
2019-05-24,8.252938331718852,2019,0.0,33.8,0.0,34.7,412.7034124931972,21,3,cenario3_excesso_v2
2019-05-25,8.661793664008943,2019,0.0,34.2,0.0,34.7,383.7663583902778,22,3,cenario3_excesso_v2
2019-05-26,8.955032847297712,2019,0.0,34.7,0.0,34.7,357.1120608182403,23,3,cenario3_excesso_v2
2019-05-27,8.60590805507657,2019,0.0,33.7,0.0,35.1,309.12200163921904,24,3,cenario3_excesso_v2
2019-05-28,9.218438497356312,2019,0.0,34.1,0.0,35.1,288.05398420138124,25,3,cenario3_excesso_v2
2019-05-29,9.425754017410448,2019,0.0,35.1,0.2,35.1,268.51185507469444,26,3,cenario3_excesso_v2
2019-05-30,8.946776188282218,2019,0.0,34.0,0.2,34.0,249.635877505312,27,3,cenario3_excesso_v2
2019-05-31,7.302487018263531,2019,0.2,33.4,0.2,35.2,217.15582672472004,28,3,cenario3_excesso_v2
2019-06-01,7.975825741949103,2019,0.0,34.0,3.8,35.2,203.541412461956,29,3,cenario3_excesso_v2
2019-06-02,8.653658986264501,2019,0.0,35.2,3.8,35.2,191.06173841208735,30,3,cenario3_excesso_v2
2019-06-03,6.049551040070548,2019,3.8,33.1,3.8,35.2,179.4370502148716,31,3,cenario3_excesso_v2
2019-06-04,9.306543790932421,2019,0.0,34.4,0.0,35.2,168.4998009075164,32,3,cenario3_excesso_v2
2019-06-05,10.064644236540632,2019,0.0,35.2,0.0,35.2,148.76165063258273,33,4,cenario3_excesso_v2
2019-06-06,9.31280092952055,2019,0.0,33.3,0.0,34.6,139.90024157276278,34,3,cenario3_excesso_v2
2019-06-07,9.658132073573217,2019,0.0,33.7,0.0,34.6,131.24818608333658,35,3,cenario3_excesso_v2
