tensao_solo_kpa,chuva_bool,tmax_max_3d_c,dap,classe_irrigacao
586.9645049372699,0,34.3,14,0
532.0692135942235,0,34.3,15,0
519.5251500377551,0,34.2,16,0
463.4577811691375,0,34.7,17,0
447.46217797430154,0,34.7,18,0
432.2868085024405,0,34.7,19,0
385.432181063794,0,35.1,20,0
371.811767430074,0,35.1,21,0
360.0464563157916,0,35.1,22,1
342.38194447539865,0,34.0,23,1
296.42916869602453,0,35.2,24,1
278.3581187231205,0,35.2,25,1
261.9472293015955,0,35.2,26,1
246.6067781918031,1,35.2,27,0
230.8290466891521,0,35.2,28,1
204.77117569227153,0,35.2,29,1
192.68340060873876,0,34.6,30,1
180.10338159224204,0,34.6,31,1
168.91129208264047,0,34.6,32,1
159.12056901492375,0,34.0,33,1
150.45281177033374,0,34.2,34,1
142.51540122139602,0,34.2,35,1
134.99842455136272,0,34.2,36,1
120.89919773632998,0,34.2,37,1
114.50104783903703,0,34.5,38,1
108.41583321055397,0,34.5,39,1
102.09591662974137,0,34.5,40,1
96.42406190177505,0,34.4,41,1
91.4220165274559,0,34.5,42,1
86.96041338173123,0,34.5,43,1
82.8458222978491,0,34.5,44,1
78.92232829391425,0,34.3,45,1
75.14284681527009,0,34.3,46,1
71.52440284061232,0,34.3,47,2
68.07935033437009,0,34.7,48,1
64.81601123836839,0,35.1,49,2
64.81601123836839,0,35.1,50,2
64.81601123836839,0,35.1,51,2
64.81601123836839,0,35.1,52,2
64.81601123836839,0,35.6,53,2
64.81601123836839,0,35.6,54,2
64.81601123836839,0,35.6,55,2
64.81601123836839,0,35.4,56,2
64.81601123836839,0,35.4,57,2
64.81601123836839,0,35.4,58,2
64.81601123836839,0,35.0,59,1
64.81601123836839,0,35.0,60,1
64.81601123836839,0,32.5,61,1
64.81601123836839,1,32.5,62,0
40.458678644438166,0,33.2,63,0
44.40410425483141,0,34.1,64,0
48.91494372588814,0,34.1,65,0
54.18547371312829,0,34.1,66,0
60.24470698541157,0,34.1,67,1
64.81601123836839,0,34.1,68,1
64.81601123836839,0,34.1,69,1
64.81601123836839,0,34.0,70,1
64.81601123836839,0,33.9,71,1
64.81601123836839,0,33.9,72,1
64.81601123836839,0,33.9,73,1
64.81601123836839,0,34.4,74,2
64.81601123836839,0,34.4,75,2
64.81601123836839,0,34.5,76,2
64.81601123836839,0,35.3,77,2
64.81601123836839,0,36.0,78,2
64.81601123836839,0,36.0,79,2
64.81601123836839,0,36.0,80,2
64.81601123836839,0,34.8,81,2
64.81601123836839,0,36.1,82,2
64.81601123836839,0,36.1,83,2
64.81601123836839,0,36.1,84,2
64.81601123836839,0,36.0,85,2
64.81601123836839,0,36.1,86,2
64.81601123836839,0,36.1,87,1
64.81601123836839,0,36.1,88,2
64.81601123836839,0,35.2,89,2
64.81601123836839,0,34.7,90,1
64.81601123836839,0,35.0,91,1
64.81601123836839,0,35.4,92,1
64.81601123836839,0,36.0,93,2
64.81601123836839,0,36.7,94,2
64.81601123836839,0,36.7,95,2
64.81601123836839,0,36.7,96,2
