tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,classe_irrigacao
14.764200725808292,6.04,28.77,14.0,0
14.764200725808292,6.4,29.92,15.0,0
15.9865361423684,6.94,29.92,16.0,0
18.775437754227536,3.52,30.76,17.0,0
18.835318769494606,9.780000000000001,30.76,18.0,0
15.601397700631127,14.969999999999999,30.76,19.0,0
15.038873967537807,12.49,29.28,20.0,0
16.130729613049386,21.93,29.74,21.0,0
11.071444016218868,19.689999999999998,29.74,22.0,0
12.774872734681303,23.259999999999998,30.09,23.0,0
14.21852677251598,10.190000000000001,30.58,24.0,0
15.21207694345874,7.85,30.58,25.0,0
15.569508105365632,4.37,30.58,26.0,0
17.6909471562643,2.8099999999999996,30.08,27.0,0
18.16969436845901,2.96,30.08,28.0,0
19.43139658108059,8.28,29.78,29.0,0
18.146701274499588,7.53,30.82,30.0,0
20.49167712213767,7.66,31.73,31.0,0
21.0594107526866,13.459999999999999,31.73,32.0,0
17.098542250227307,27.85,31.73,33.0,0
12.777045356670929,40.21,30.61,34.0,0
10.76269825201065,35.64,30.61,35.0,0
12.650234580912283,22.56,30.92,36.0,0
15.161020962485209,9.42,30.92,37.0,0
17.275979270909524,4.3100000000000005,31.47,38.0,0
18.044411743675916,14.950000000000001,31.51,39.0,0
14.643551393405522,20.59,31.51,40.0,0
14.047474726306978,21.970000000000002,31.51,41.0,0
14.911008993927352,9.43,31.36,42.0,0
16.997317554959665,3.5,31.36,43.0,0
17.757265917272502,10.25,30.83,44.0,0
15.246982173908325,20.08,30.83,45.0,0
13.28446507005047,25.950000000000003,30.41,46.0,0
13.563822327809861,16.48,30.41,47.0,0
15.882217450409389,11.24,31.53,48.0,0
16.105051102476803,10.98,31.53,49.0,0
15.04969800237972,14.549999999999999,31.53,50.0,0
15.184824658278995,11.36,30.28,51.0,0
16.128876156762935,13.33,30.28,52.0,0
14.620430352752773,28.47,30.28,53.0,0
10.961084676317643,34.9,29.53,54.0,0
12.655508481998895,35.26,29.92,55.0,0
12.817639575153772,21.25,29.92,56.0,0
13.772048700183907,16.41,30.65,57.0,0
14.708359440981589,15.440000000000001,30.65,58.0,0
13.482881882721472,34.33,30.65,59.0,0
9.852956649616287,48.160000000000004,29.43,60.0,0
10.632330383787842,57.99000000000001,29.43,61.0,0
10.513754201342325,49.52,29.43,62.0,0
10.840345131408604,33.53,30.85,63.0,0
14.620430352752782,18.29,30.85,64.0,0
16.191111084600667,3.27,30.85,65.0,0
17.903214143710407,2.95,30.79,66.0,0
19.490435387319963,3.1900000000000004,30.15,67.0,0
20.09328555346534,6.65,30.15,68.0,0
19.777416678489157,7.880000000000001,29.84,69.0,0
20.83768242902159,5.750000000000001,31.16,70.0,0
22.885213230243348,2.1000000000000005,31.16,71.0,0
25.161356262275188,16.25,31.16,72.0,0
18.829816869290045,20.479999999999997,30.39,73.0,0
18.94910799866517,20.3,30.39,74.0,0
20.634990954372206,5.9799999999999995,31.05,75.0,0
21.903706011229115,5.55,31.05,76.0,0
22.126866050530463,13.59,31.05,77.0,0
19.856992664229526,29.29,30.41,78.0,0
14.205828772484937,26.64,30.41,79.0,0
15.24269586550913,24.299999999999997,30.13,80.0,0
14.494536986030862,29.36,30.13,81.0,0
10.071651103349334,29.77,30.87,82.0,0
14.803512483287019,26.9,31.45,83.0,0
16.030623732964457,10.409999999999997,31.45,84.0,0
15.480330104403036,16.049999999999997,31.45,85.0,0
14.389030789595315,30.409999999999997,31.4,86.0,0
11.030145937824738,75.16,31.34,87.0,0
6.8442607045223145,67.97999999999999,30.81,88.0,0
15.083343381995387,54.08999999999999,31.55,89.0,0
16.21682130224953,52.769999999999996,31.55,90.0,0
7.140415725460188,56.96,31.55,91.0,0
13.28452265490816,80.4,29.68,92.0,0
9.519076607975002,45.18,30.52,93.0,0
11.03708085799675,41.04,31.32,94.0,0
15.208621863729935,19.0,31.32,95.0,0
15.167854118081227,8.18,31.32,96.0,0
15.09008332863129,10.379999999999999,30.1,97.0,0
15.421370597457196,7.1899999999999995,31.49,98.0,0
16.1801074549318,6.609999999999999,31.49,99.0,0
16.349824901685345,14.59,31.49,100.0,0
13.890414270479438,18.689999999999998,31.08,101.0,0
13.735873258959254,25.86,31.08,102.0,0
12.50121438265448,17.389999999999997,30.95,103.0,0
14.456063597998622,13.119999999999997,30.65,104.0,0
15.456019827087669,3.859999999999998,30.5,105.0,0
21.491332109122517,0.02,33.81,14.0,0
21.491332109122517,0.02,33.81,15.0,1
15.318496310894504,0.02,33.86,16.0,0
17.34034754687115,0.01,34.21,17.0,0
18.937578212724947,0.12,34.21,18.0,0
21.8013411588274,0.13,34.21,19.0,0
22.557015525786003,0.12,35.48,20.0,1
15.277414990262528,0.01,35.48,21.0,0
17.186425848458732,0.0,35.48,22.0,0
19.88595513300547,0.0,34.58,23.0,0
20.425588523432793,0.0,34.5,24.0,0
22.234578414115763,0.0,34.02,25.0,0
24.18553535224449,0.0,34.62,26.0,1
14.568239400445009,0.0,34.7,27.0,0
17.148332922940853,0.0,35.26,28.0,0
18.629988213786866,0.0,35.64,29.0,0
21.19211068413833,0.0,35.64,30.0,0
23.605508586383987,0.0,35.71,31.0,1
15.186311655722617,0.0,35.71,32.0,0
16.72162103612005,0.0,35.71,33.0,0
19.294044566298844,0.0,34.9,34.0,0
22.09643715589882,0.1,35.13,35.0,0
23.20944490951339,0.28,35.18,36.0,1
14.677050448434553,1.53,35.18,37.0,0
15.787453680844425,4.54,35.18,38.0,0
16.197750029572028,4.5,33.85,39.0,0
17.507870434750334,3.25,33.84,40.0,0
19.71628605335339,0.13999999999999957,33.92,41.0,0
22.248174991453904,0.0,34.73,42.0,0
25.015605991333135,0.019999999999999556,34.73,43.0,1
14.827550510564523,0.019999999999999556,35.49,44.0,0
16.9533185307333,0.019999999999999556,35.98,45.0,0
18.391192326959544,0.8799999999999996,35.98,46.0,0
20.43578561004234,1.2699999999999996,35.98,47.0,0
22.70351165875841,1.3399999999999996,35.21,48.0,0
25.480340519839118,0.4599999999999996,35.25,49.0,1
14.813398172127505,0.06999999999999956,35.25,50.0,0
16.83349425966874,0.0,35.25,51.0,0
19.09167131605839,0.0,35.5,52.0,0
21.9830933728809,0.0,35.5,53.0,0
25.362030815539253,0.0,35.68,54.0,1
14.575086854583333,0.0,36.95,55.0,0
16.752971940486002,0.0,36.95,56.0,0
19.48584792492732,0.0,36.95,57.0,0
22.581460700807245,0.34999999999999953,36.93,58.0,1
14.484907085350946,0.4599999999999995,36.03,59.0,0
16.521691784969793,0.4599999999999995,37.3,60.0,0
19.02914141791469,0.10999999999999956,37.42,61.0,0
21.930130027776364,0.0,37.42,62.0,1
14.436873046605152,0.0,37.84,63.0,0
16.684321923771716,0.0,38.27,64.0,0
19.490435387319874,0.0,38.27,65.0,0
22.718924018388492,0.0,38.27,66.0,1
14.462467277294106,0.0,37.73,67.0,0
16.680517981444545,0.0,37.02,68.0,0
19.149956582624043,0.0,36.42,69.0,0
22.25023342344483,0.0,37.12,70.0,1
14.734534767764174,0.0,37.26,71.0,0
17.23525605960519,0.0,37.51,72.0,0
20.188750405325884,0.0,37.83,73.0,0
23.70992405418665,0.0,38.52,74.0,1
14.633416841813814,0.0,38.99,75.0,0
17.101370963224696,0.0,38.99,76.0,0
19.866379884742074,0.0,38.99,77.0,0
23.313086973384262,0.0,38.08,78.0,1
14.542802351396215,0.0,37.74,79.0,0
16.891295785350263,0.0,38.55,80.0,0
19.78208697071788,0.0,38.55,81.0,0
22.940968582081513,0.0,38.55,82.0,1
14.379485273133287,0.009999999999999556,38.02,83.0,0
16.502905512146743,0.009999999999999556,37.88,84.0,0
18.887140044870936,0.009999999999999556,38.52,85.0,0
21.81415082602246,0.0,38.52,86.0,0
25.111486884069407,0.0,38.52,87.0,0
29.2667249073329,0.0,37.66,88.0,1
14.568623051486167,0.0,38.22,89.0,0
16.99983310391785,0.0,38.43,90.0,0
19.88987133759813,0.0,38.69,91.0,0
23.188244957083885,0.0,38.96,92.0,0
27.079700490397087,0.0,39.4,93.0,0
31.843611321283756,0.0,39.4,94.0,1
14.42409639645676,0.0,39.4,95.0,0
16.502905512146757,0.0,39.06,96.0,0
18.909243389219043,0.08999999999999955,39.06,97.0,0
21.37806401206295,0.2699999999999996,39.06,98.0,0
24.120858705481556,0.2699999999999996,38.8,99.0,0
27.354115513205212,0.17999999999999955,38.86,100.0,0
31.1483420074606,0.0,39.0,101.0,1
14.526692411297446,0.0,39.2,102.0,0
16.612225365970172,0.0,40.41,103.0,0
14.659847640775022,0.21,30.12,14.0,1
14.659847640775022,1.21,32.36,15.0,0
15.953456418588406,5.79,32.36,16.0,0
15.19929795638521,11.690000000000001,32.36,17.0,0
14.153954323175393,17.18,31.52,18.0,0
12.710026854524424,21.46,31.34,19.0,0
11.227555400991216,15.639999999999999,30.62,20.0,0
15.405261111273775,11.92,31.81,21.0,0
16.183330956567506,27.67,31.81,22.0,0
8.983082691010527,39.0,31.81,23.0,0
9.942884595567946,39.879999999999995,31.54,24.0,0
13.665754010876448,23.180000000000003,31.54,25.0,0
13.301730118795666,23.340000000000003,31.54,26.0,0
11.261465457093069,20.010000000000005,31.76,27.0,0
15.688050753574108,12.940000000000003,31.76,28.0,0
18.472087869149544,1.3500000000000034,32.45,29.0,0
19.94213772974663,1.9900000000000033,32.45,30.0,0
21.88196380262967,12.130000000000004,32.45,31.0,0
17.887322054975183,26.490000000000006,30.07,32.0,0
12.687040991292633,33.010000000000005,30.65,33.0,0
13.028664484991035,56.46000000000001,30.65,34.0,0
7.89148145530342,52.57000000000001,30.65,35.0,0
10.870683902377595,48.24,30.02,36.0,0
14.034605095021748,14.42,29.93,37.0,0
16.277399004152507,3.9899999999999998,30.95,38.0,0
18.470799380080173,4.8999999999999995,30.95,39.0,0
18.52485073818873,6.469999999999999,31.55,40.0,0
18.819868600896278,41.89,31.74,41.0,0
9.31662042390214,49.98,31.74,42.0,0
11.37771801846701,47.949999999999996,31.74,43.0,0
15.57127282043317,12.38,31.61,44.0,0
18.2419634627602,6.340000000000001,31.69,45.0,0
16.79236694266949,27.57,31.69,46.0,0
11.18140764176015,33.54,31.69,47.0,0
12.74167224274531,45.879999999999995,30.46,48.0,0
10.570646456115107,44.36,30.46,49.0,0
10.152813449710626,46.31,30.46,50.0,0
12.88988097432633,29.15,31.92,51.0,0
15.39026627820396,13.84,31.92,52.0,0
15.22224044078757,7.39,31.92,53.0,0
16.01250805998214,16.86,30.52,54.0,0
13.762994089463158,17.38,31.19,55.0,0
14.199561745054005,18.47,31.19,56.0,0
15.019494444116567,38.89,31.19,57.0,0
9.13770609795025,42.72,30.8,58.0,0
12.212423205335202,70.37,30.44,59.0,0
8.786882906590694,44.019999999999996,30.44,60.0,0
13.223976483964405,56.65,29.88,61.0,0
10.347416631334616,38.94,30.84,62.0,0
11.376222370694002,73.93,30.84,63.0,0
7.850608752406505,54.93,30.84,64.0,0
14.010007666265901,80.9,30.53,65.0,0
8.097558167086788,70.36,30.53,66.0,0
8.760574670970152,74.32,30.31,67.0,0
