dia,dap,theta_6h,tensao_6h_kpa,theta_18h,tensao_18h_kpa,chuva_3d_mm,tmax_3d_c,chuva_dia_mm,choveu_sensor,mm_chuva_sensor,classe_manha,confianca_manha,classe_final,irrigou_mm,motivo_18h,n_regras,regras_c0,regras_c1,regras_c2,houve_feedback,n_ajustes,tensao_acima_range,fonte_meteo
1,60,0.173,47.3,0.166,57.8,0,36.5,0.0,False,0.0,0,0.425,0,0.0,executado_normal,41,21,10,10,False,0,False,api
2,61,0.1637,61.9,0.1567,76.6,0.0,37.0,0.0,False,0.0,0,0.632,0,0.0,executado_normal,41,21,10,10,False,0,False,api
3,62,0.1557,79.0,0.1487,98.9,0.0,37.5,0.0,False,0.0,0,0.54,0,0.0,executado_normal,41,21,10,10,False,0,False,api
4,63,0.1477,102.2,0.1407,129.6,0.0,37.8,0.0,False,0.0,0,0.477,0,0.0,executado_normal,41,21,10,10,False,0,False,api
5,64,0.1397,134.1,0.1327,172.4,0.0,38.0,0.0,False,0.0,2,0.468,2,7.0,executado_normal,42,21,11,10,True,1,False,api
6,65,0.1517,89.7,0.1647,60.1,0.0,38.2,0.0,False,0.0,0,0.51,0,0.0,executado_normal,42,21,11,10,False,0,False,api
7,66,0.1437,116.8,0.1367,149.1,0.0,38.2,0.0,False,0.0,1,0.516,1,3.0,executado_normal,42,21,11,10,False,0,False,api
8,67,0.1443,114.6,0.1459,108.7,0.0,38.2,0.0,False,0.0,0,0.389,0,0.0,executado_normal,42,21,11,10,False,0,False,api
9,68,0.1363,151.4,0.1293,195.9,0.0,38.5,0.0,False,0.0,0,0.351,0,0.0,executado_normal,43,21,12,10,True,1,True,api
10,69,0.1283,203.4,0.1213,267.6,0.0,38.8,0.0,False,0.0,0,0.399,0,0.0,executado_normal,43,21,12,10,False,0,True,api
11,70,0.1203,278.6,0.1133,373.4,0.0,39.0,0.0,False,0.0,2,0.445,2,7.0,executado_normal,44,21,13,10,True,1,True,api
12,71,0.1323,175.1,0.1453,110.8,0.0,39.0,0.0,False,0.0,1,0.544,1,3.0,executado_normal,44,21,13,10,False,0,True,api
13,72,0.1329,171.5,0.1344,161.9,0.0,39.0,0.0,False,0.0,1,0.519,1,3.0,executado_normal,44,21,13,10,False,0,True,api
14,73,0.1334,167.9,0.135,158.6,0.0,38.5,0.0,False,0.0,1,0.451,1,3.0,executado_normal,45,21,13,11,True,1,True,api
