dia,dap,theta_6h,tensao_6h_kpa,theta_18h,tensao_18h_kpa,chuva_3d_mm,tmax_3d_c,chuva_dia_mm,choveu_sensor,mm_chuva_sensor,classe_manha,confianca_manha,classe_final,irrigou_mm,motivo_18h,n_regras,regras_c0,regras_c1,regras_c2,houve_feedback,n_ajustes,tensao_acima_range,fonte_meteo
1,45,0.115,347.1,0.11,431.4,0,37.0,0.0,False,0.0,2,0.556,2,7.0,executado_normal,41,21,10,10,False,0,True,api
2,46,0.1276,209.0,0.1425,122.0,0.0,37.0,0.0,False,0.0,0,0.675,0,0.0,executado_normal,41,21,10,10,False,0,True,api
3,47,0.1213,267.2,0.1161,332.0,0.0,37.0,0.0,False,0.0,0,0.567,0,0.0,executado_normal,41,21,10,10,False,0,True,api
4,48,0.1149,348.2,0.1095,440.5,0.0,37.0,35.0,True,34.2,0,0.478,0,0.0,mantido_stress_persistente,42,21,11,10,True,1,True,api
5,49,0.1784,40.7,0.2429,33.0,35.0,37.0,12.0,True,13.3,0,0.516,0,0.0,cancelado_chuva_solo_ok,42,21,11,10,False,0,False,api
6,50,0.1957,33.0,0.2141,33.0,47.0,37.0,5.0,True,5.6,0,0.518,0,0.0,cancelado_chuva_solo_ok,42,21,11,10,False,0,False,api
7,51,0.1989,33.0,0.2031,33.0,17.0,37.0,0.0,False,0.0,0,0.508,0,0.0,executado_normal,42,21,11,10,False,0,False,api
8,52,0.192,33.0,0.1861,33.1,5.0,37.0,0.0,False,0.0,0,0.498,0,0.0,executado_normal,42,21,11,10,False,0,False,api
9,53,0.1849,34.1,0.1789,40.2,0.0,37.0,0.0,False,0.0,0,0.481,0,0.0,executado_normal,42,21,11,10,False,0,False,api
10,54,0.1777,41.4,0.1715,49.3,0.0,37.0,0.0,False,0.0,1,0.484,1,3.0,executado_normal,42,21,11,10,False,0,False,api
