dia,dap,theta_6h,tensao_6h_kpa,theta_18h,tensao_18h_kpa,chuva_3d_mm,tmax_3d_c,chuva_dia_mm,choveu_sensor,mm_chuva_sensor,classe_manha,confianca_manha,classe_final,irrigou_mm,motivo_18h,n_regras,regras_c0,regras_c1,regras_c2,houve_feedback,n_ajustes,tensao_acima_range,fonte_meteo
1,55,0.1687,53.5,0.1623,64.5,0,37.0,0.0,False,0.0,0,0.624,0,0.0,executado_normal,41,21,10,10,False,0,False,api
2,56,0.1599,69.4,0.1535,84.9,0.0,37.0,0.0,False,0.0,0,0.733,0,0.0,executado_normal,41,21,10,10,False,0,False,api
3,57,0.1523,88.0,0.1457,109.2,0.0,37.0,0.0,False,0.0,0,0.556,0,0.0,executado_normal,41,21,10,10,False,0,False,api
4,58,0.1446,113.5,0.1379,143.2,0.0,37.0,0.0,False,0.0,0,0.471,0,0.0,executado_normal,41,21,10,10,False,0,False,api
5,59,0.1367,149.1,0.1299,191.8,0.0,37.0,0.0,False,0.0,2,0.505,2,7.0,executado_normal,42,21,11,10,True,1,True,api
6,60,0.1487,98.9,0.1617,65.7,0.0,37.0,0.0,False,0.0,0,0.553,0,0.0,executado_normal,42,21,11,10,False,0,False,api
7,61,0.1407,129.5,0.1337,166.2,0.0,37.0,0.0,False,0.0,1,0.525,1,3.0,executado_normal,42,21,11,10,False,0,False,api
8,62,0.1413,127.0,0.1429,120.3,0.0,37.0,0.0,False,0.0,0,0.492,0,0.0,executado_normal,42,21,11,10,False,0,False,api
9,63,0.1333,168.8,0.1263,219.7,0.0,37.0,0.0,False,0.0,0,0.381,0,0.0,executado_normal,43,21,12,10,True,1,True,api
10,64,0.1253,228.3,0.1183,302.4,0.0,37.0,0.0,False,0.0,0,0.389,0,0.0,executado_normal,43,21,12,10,False,0,True,api
11,65,0.1173,315.1,0.1103,425.7,0.0,37.0,0.0,False,0.0,2,0.483,2,7.0,executado_normal,44,21,13,10,True,1,True,api
12,66,0.1293,195.9,0.1423,122.7,0.0,37.0,0.0,False,0.0,1,0.557,1,3.0,executado_normal,44,21,13,10,False,0,True,api
13,67,0.1299,191.7,0.1314,180.8,0.0,37.0,0.0,False,0.0,1,0.501,1,3.0,executado_normal,44,21,13,10,False,0,True,api
14,68,0.1304,187.6,0.132,177.0,0.0,37.0,0.0,False,0.0,1,0.422,1,3.0,executado_normal,45,21,13,11,True,1,True,api
15,69,0.131,183.7,0.1326,173.3,0.0,37.0,0.0,False,0.0,2,0.466,2,7.0,executado_normal,45,21,13,11,False,0,True,api
16,70,0.143,119.7,0.156,78.3,0.0,37.0,0.0,False,0.0,1,0.508,1,3.0,executado_normal,45,21,13,11,False,0,False,api
17,71,0.1436,117.4,0.1451,111.4,0.0,37.0,0.0,False,0.0,1,0.525,1,3.0,executado_normal,45,21,13,11,False,0,False,api
18,72,0.1442,115.2,0.1457,109.2,0.0,37.0,0.0,False,0.0,1,0.54,1,3.0,executado_normal,45,21,13,11,False,0,False,api
19,73,0.1447,113.0,0.1463,107.2,0.0,37.0,0.0,False,0.5,1,0.552,1,3.0,executado_normal,45,21,13,11,False,0,False,api
20,74,0.1453,110.8,0.1469,105.2,0.0,37.0,0.0,False,0.0,1,0.562,1,3.0,executado_normal,45,21,13,11,False,0,False,api
21,75,0.1459,108.7,0.1474,103.2,0.0,37.0,0.0,False,0.0,1,0.57,1,3.0,executado_normal,45,21,13,11,False,0,False,api
