dia,dap,theta_6h,tensao_6h_kpa,theta_18h,tensao_18h_kpa,chuva_3d_mm,tmax_3d_c,chuva_dia_mm,choveu_sensor,mm_chuva_sensor,classe_manha,confianca_manha,classe_final,irrigou_mm,motivo_18h,n_regras,regras_c0,regras_c1,regras_c2,houve_feedback,n_ajustes,tensao_acima_range,fonte_meteo
1,80,0.0906,1114.4,0.0906,1114.4,0,38.0,0.0,False,0.0,2,0.487,2,7.0,executado_normal,41,21,10,10,False,0,True,api
2,81,0.1013,645.1,0.1143,357.8,0.0,38.0,0.0,False,0.0,2,0.564,2,7.0,executado_normal,41,21,10,10,False,0,True,api
3,82,0.1133,373.4,0.1263,219.8,0.0,38.0,0.0,False,0.0,0,0.49,0,0.0,executado_normal,41,21,10,10,False,0,True,api
4,83,0.1053,533.9,0.0983,747.3,0.0,38.0,0.0,False,0.0,0,0.465,0,0.0,executado_normal,41,21,10,10,False,0,True,api
5,84,0.0973,785.3,0.0906,1114.4,0.0,38.0,0.0,False,0.0,2,0.546,2,7.0,executado_normal,42,21,11,10,True,1,True,api
6,85,0.1093,445.0,0.1223,257.2,0.0,38.0,0.0,False,0.0,1,0.462,1,3.0,executado_normal,42,21,11,10,False,0,True,api
7,86,0.1099,433.9,0.1114,404.9,0.0,38.0,0.0,False,0.0,1,0.464,1,3.0,executado_normal,42,21,11,10,False,0,True,api
8,87,0.1104,423.0,0.112,394.9,0.0,38.0,0.0,False,0.0,1,0.476,1,3.0,executado_normal,43,21,11,11,True,1,True,api
9,88,0.111,412.5,0.1126,385.2,0.0,38.0,0.0,False,0.0,2,0.412,2,7.0,executado_normal,43,21,11,11,False,0,True,api
10,89,0.123,249.9,0.136,153.0,0.0,38.0,0.0,False,0.0,1,0.587,1,3.0,executado_normal,43,21,11,11,False,0,True,api
