Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2021	25.00	29.40	0.00	4.74
2	1	2021	24.80	31.60	0.00	9.54
3	1	2021	26.20	31.60	0.00	13.09
4	1	2021	25.10	30.70	0.00	10.06
5	1	2021	25.00	32.50	0.00	9.27
6	1	2021	24.80	32.40	0.00	9.79
7	1	2021	24.80	32.20	0.00	12.52
8	1	2021	26.00	32.50	0.00	10.99
9	1	2021	25.80	32.10	0.00	10.08
10	1	2021	26.30	32.50	0.00	8.25
11	1	2021	25.60	31.70	0.00	8.11
12	1	2021	25.50	31.10	0.00	8.35
13	1	2021	24.50	32.20	0.00	9.22
14	1	2021	25.60	31.80	0.00	6.36
15	1	2021	25.80	32.30	0.00	6.33
16	1	2021	24.40	32.80	0.00	8.14
17	1	2021	23.10	31.00	0.00	6.04
18	1	2021	23.30	27.80	0.00	0.67
19	1	2021	24.40	29.50	0.00	11.29
20	1	2021	23.20	27.70	0.00	3.65
21	1	2021	22.80	30.70	0.00	7.36
22	1	2021	25.30	31.00	0.00	11.64
23	1	2021	24.20	30.80	0.00	10.97
24	1	2021	22.20	29.80	0.00	3.50
25	1	2021	25.10	28.90	0.00	2.50
26	1	2021	24.30	29.00	0.00	4.29
27	1	2021	24.30	30.90	0.00	8.82
28	1	2021	23.00	31.50	0.00	4.49
29	1	2021	22.20	30.00	0.00	1.62
30	1	2021	25.90	31.50	0.00	6.38
31	1	2021	23.40	32.00	0.00	9.12
1	2	2021	26.00	31.00	0.00	12.67
2	2	2021	24.80	31.90	0.00	9.39
3	2	2021	23.60	32.00	0.00	9.90
4	2	2021	25.70	31.90	0.00	9.67
5	2	2021	24.60	31.70	0.00	9.62
6	2	2021	25.60	32.20	0.00	14.26
7	2	2021	24.40	34.90	0.00	15.25
8	2	2021	26.10	31.70	0.00	8.33
9	2	2021	24.80	29.40	0.00	2.78
10	2	2021	25.20	28.90	0.00	1.63
11	2	2021	24.60	29.20	0.00	0.62
12	2	2021	23.40	29.70	0.00	2.86
13	2	2021	24.90	31.20	0.00	2.90
14	2	2021	25.60	31.90	0.00	1.26
15	2	2021	25.50	28.40	0.00	0.79
16	2	2021	23.50	25.80	0.00	3.05
17	2	2021	23.20	25.50	0.00	3.66
18	2	2021	23.80	27.80	0.00	2.00
19	2	2021	22.40	27.30	0.00	1.96
20	2	2021	23.80	29.70	0.00	3.48
21	2	2021	23.80	29.40	0.00	1.98
22	2	2021	22.50	26.80	0.00	1.18
23	2	2021	22.60	29.00	0.00	0.76
24	2	2021	23.70	29.70	0.00	0.84
25	2	2021	24.20	30.30	0.00	1.20
26	2	2021	24.30	29.80	0.00	1.09
27	2	2021	23.90	29.20	0.00	0.58
28	2	2021	23.50	30.30	0.00	3.47
1	3	2021	23.80	29.90	0.00	3.23
2	3	2021	22.40	30.10	0.00	2.56
3	3	2021	24.80	31.80	0.00	1.37
4	3	2021	23.60	29.70	0.00	0.89
5	3	2021	24.70	31.30	0.00	3.84
6	3	2021	23.30	28.40	0.00	0.53
7	3	2021	23.90	29.50	0.00	0.81
8	3	2021	24.40	30.90	0.00	0.86
9	3	2021	23.20	29.60	0.00	0.67
10	3	2021	23.50	28.60	0.00	1.16
11	3	2021	23.90	28.40	0.00	1.92
12	3	2021	24.00	29.00	0.00	3.44
13	3	2021	24.30	30.10	0.00	0.85
14	3	2021	24.10	29.50	0.00	0.84
15	3	2021	21.20	26.30	0.00	2.44
16	3	2021	23.10	29.60	0.00	2.45
17	3	2021	23.30	27.50	0.00	2.19
18	3	2021	23.00	27.80	0.00	3.68
19	3	2021	22.90	26.60	0.00	1.44
20	3	2021	22.70	28.70	0.00	1.93
21	3	2021	23.30	28.70	0.00	0.56
22	3	2021	21.30	27.70	0.00	2.01
23	3	2021	23.20	29.50	0.00	0.64
24	3	2021	23.60	27.60	0.00	0.59
25	3	2021	23.00	26.10	0.00	0.53
26	3	2021	22.50	27.30	0.00	3.68
27	3	2021	22.30	28.80	0.00	0.74
28	3	2021	23.20	29.40	0.00	0.70
29	3	2021	23.50	28.70	0.00	0.64
30	3	2021	23.80	29.90	0.00	0.75
31	3	2021	24.50	28.10	0.00	0.60
1	4	2021	24.30	29.70	0.00	0.65
2	4	2021	23.70	31.80	0.00	0.79
3	4	2021	24.50	30.10	0.00	0.65
4	4	2021	24.00	30.40	0.00	0.55
5	4	2021	24.70	31.50	0.00	1.00
6	4	2021	24.20	32.90	0.00	1.03
7	4	2021	24.50	30.50	0.00	0.57
8	4	2021	24.00	31.80	0.00	0.63
9	4	2021	24.10	32.50	0.00	0.96
10	4	2021	24.70	32.70	0.00	0.96
11	4	2021	24.00	28.90	0.00	0.64
12	4	2021	24.30	32.20	0.00	0.85
13	4	2021	24.80	31.50	0.00	0.82
14	4	2021	25.80	31.80	0.00	1.00
15	4	2021	25.10	32.20	0.00	0.85
16	4	2021	24.10	31.50	0.00	0.87
17	4	2021	25.20	28.90	0.00	0.80
18	4	2021	25.10	29.10	0.00	0.64
19	4	2021	23.80	27.60	0.00	0.52
20	4	2021	23.10	29.00	0.00	0.59
21	4	2021	23.60	30.10	0.00	1.41
22	4	2021	24.50	30.20	0.00	0.66
23	4	2021	24.80	31.10	0.00	0.57
24	4	2021	23.60	30.70	0.00	0.54
25	4	2021	23.50	30.30	0.00	0.62
26	4	2021	23.80	30.20	0.00	0.73
27	4	2021	24.00	30.60	0.00	0.79
28	4	2021	24.60	29.20	0.00	0.70
29	4	2021	24.30	30.80	0.00	0.72
30	4	2021	23.90	31.30	0.00	0.60
1	5	2021	21.80	27.00	0.00	2.43
2	5	2021	22.90	29.80	0.00	0.62
3	5	2021	24.10	31.00	0.00	0.50
4	5	2021	23.90	29.50	0.00	0.70
5	5	2021	23.10	30.20	0.00	0.63
6	5	2021	22.80	28.40	0.00	1.00
7	5	2021	24.10	29.30	0.00	0.68
8	5	2021	24.10	30.70	0.00	0.65
9	5	2021	24.00	30.70	0.00	0.66
10	5	2021	24.10	30.90	0.00	0.61
11	5	2021	24.90	31.40	0.00	0.59
12	5	2021	23.90	31.80	0.00	0.67
13	5	2021	24.90	30.70	0.00	0.60
14	5	2021	24.70	30.90	0.00	0.56
15	5	2021	23.70	29.20	0.00	0.65
16	5	2021	23.80	32.20	0.00	0.65
17	5	2021	25.30	30.10	0.00	0.53
18	5	2021	24.40	30.80	0.00	0.61
19	5	2021	24.20	30.60	0.00	0.69
20	5	2021	24.80	30.70	0.00	0.61
21	5	2021	25.70	31.40	0.00	0.79
22	5	2021	24.60	31.90	0.00	0.86
23	5	2021	25.30	32.80	0.00	0.94
24	5	2021	25.10	32.90	0.00	0.90
25	5	2021	25.10	33.50	0.00	0.93
26	5	2021	24.60	32.30	0.00	0.84
27	5	2021	25.20	33.20	0.00	0.91
28	5	2021	24.50	32.80	0.00	0.74
29	5	2021	24.10	31.20	0.00	0.58
30	5	2021	23.80	30.70	0.00	0.60
31	5	2021	24.60	30.80	0.00	0.63
1	6	2021	24.50	30.90	0.00	0.56
2	6	2021	24.40	30.80	0.00	0.71
3	6	2021	25.10	30.30	0.00	0.68
4	6	2021	24.20	31.10	0.00	0.79
5	6	2021	24.40	31.80	0.00	0.88
6	6	2021	25.10	31.00	0.00	0.59
7	6	2021	23.40	29.60	0.00	0.58
8	6	2021	24.10	28.80	0.00	0.50
9	6	2021	24.40	30.20	0.00	0.62
10	6	2021	24.50	28.90	0.00	0.52
11	6	2021	23.40	29.20	0.00	0.43
12	6	2021	22.50	26.70	0.00	0.52
13	6	2021	22.90	29.30	0.00	0.75
14	6	2021	24.20	28.90	0.00	0.56
15	6	2021	24.40	29.20	0.00	0.65
16	6	2021	24.00	29.80	0.00	0.75
17	6	2021	24.30	29.80	0.00	0.60
18	6	2021	22.00	29.60	0.00	0.72
19	6	2021	23.40	29.50	0.00	0.58
20	6	2021	23.80	30.70	0.00	0.73
21	6	2021	24.50	30.80	0.00	0.77
22	6	2021	23.50	30.50	0.00	0.77
23	6	2021	24.20	29.90	0.00	0.98
24	6	2021	24.10	30.30	0.00	1.04
25	6	2021	23.80	30.70	0.00	0.79
26	6	2021	23.60	30.00	0.00	0.89
27	6	2021	23.00	29.60	0.00	0.55
28	6	2021	23.10	30.20	0.00	0.54
29	6	2021	22.90	29.70	0.00	0.65
30	6	2021	22.60	30.10	0.00	0.68
1	7	2021	23.60	30.50	0.00	0.59
2	7	2021	24.30	28.00	0.00	0.65
3	7	2021	23.30	30.40	0.00	0.72
4	7	2021	23.80	29.90	0.00	0.65
5	7	2021	23.90	30.50	0.00	0.63
6	7	2021	23.40	29.90	0.00	0.58
7	7	2021	23.00	29.80	0.00	0.60
8	7	2021	23.90	29.80	0.00	0.66
9	7	2021	24.20	29.00	0.00	0.63
10	7	2021	24.80	30.70	0.00	0.87
11	7	2021	24.70	31.00	0.00	1.01
12	7	2021	24.60	30.70	0.00	0.76
13	7	2021	25.00	31.70	0.00	0.88
14	7	2021	23.90	31.20	0.00	0.82
15	7	2021	23.70	31.10	0.00	0.75
16	7	2021	24.00	30.20	0.00	0.74
17	7	2021	24.10	30.70	0.00	0.96
18	7	2021	24.30	29.90	0.00	0.75
19	7	2021	24.60	30.10	0.00	0.79
20	7	2021	24.30	30.00	0.00	0.76
21	7	2021	23.80	30.10	0.00	0.76
22	7	2021	24.30	32.10	0.00	0.89
23	7	2021	24.40	31.70	0.00	0.95
24	7	2021	23.30	31.10	0.00	0.84
25	7	2021	23.30	31.40	0.00	0.78
26	7	2021	23.20	30.60	0.00	0.72
27	7	2021	24.30	31.40	0.00	0.87
28	7	2021	25.00	30.70	0.00	0.93
29	7	2021	24.20	30.60	0.00	0.93
30	7	2021	23.80	29.70	0.00	0.87
31	7	2021	24.00	31.20	0.00	0.76
1	8	2021	23.50	31.40	0.00	0.92
2	8	2021	22.80	31.90	0.00	0.98
3	8	2021	22.90	30.60	0.00	0.60
4	8	2021	23.00	30.90	0.00	0.62
5	8	2021	23.10	30.90	0.00	0.63
6	8	2021	23.60	31.10	0.00	0.60
7	8	2021	23.70	30.40	0.00	0.66
8	8	2021	24.10	32.20	0.00	0.84
9	8	2021	24.80	31.80	0.00	1.10
10	8	2021	24.80	30.80	0.00	0.79
11	8	2021	25.20	30.10	0.00	0.69
12	8	2021	23.80	30.10	0.00	0.79
13	8	2021	22.70	30.60	0.00	1.11
14	8	2021	24.70	30.50	0.00	0.80
15	8	2021	23.10	30.70	0.00	0.95
16	8	2021	24.20	30.50	0.00	0.99
17	8	2021	24.10	30.30	0.00	0.97
18	8	2021	24.30	31.50	0.00	0.99
19	8	2021	24.10	30.90	0.00	0.90
20	8	2021	23.30	31.30	0.00	0.82
21	8	2021	25.10	32.10	0.00	1.12
22	8	2021	25.00	31.10	0.00	1.29
23	8	2021	24.80	31.60	0.00	1.27
24	8	2021	24.40	30.90	0.00	1.07
25	8	2021	24.60	31.00	0.00	1.36
26	8	2021	25.40	31.20	0.00	0.99
27	8	2021	24.90	31.70	0.00	1.28
28	8	2021	25.40	31.50	0.00	1.81
29	8	2021	24.10	32.90	0.00	1.47
30	8	2021	25.70	31.30	0.00	1.55
31	8	2021	25.70	30.80	0.00	1.51
1	9	2021	25.10	30.30	0.00	1.39
2	9	2021	24.50	30.50	0.00	1.01
3	9	2021	24.10	30.90	0.00	1.15
4	9	2021	26.00	31.30	0.00	1.80
5	9	2021	25.60	31.50	0.00	1.80
6	9	2021	24.60	31.00	0.00	1.36
7	9	2021	24.60	30.50	0.00	1.25
8	9	2021	24.80	30.70	0.00	1.35
9	9	2021	25.20	31.30	0.00	1.39
10	9	2021	25.00	31.00	0.00	1.50
11	9	2021	24.80	31.30	0.00	1.38
12	9	2021	25.60	31.10	0.00	1.64
13	9	2021	23.80	31.70	0.00	2.35
14	9	2021	25.50	30.90	0.00	1.40
15	9	2021	25.10	31.70	0.00	1.39
16	9	2021	25.40	32.00	0.00	1.65
17	9	2021	24.00	30.10	0.00	3.08
18	9	2021	25.30	31.70	0.00	1.42
19	9	2021	25.50	31.10	0.00	1.50
20	9	2021	25.20	31.10	0.00	1.40
21	9	2021	24.60	31.60	0.00	1.41
22	9	2021	25.20	31.50	0.00	1.44
23	9	2021	25.00	31.10	0.00	1.44
24	9	2021	25.20	30.80	0.00	1.57
25	9	2021	24.60	31.80	0.00	1.90
26	9	2021	24.40	31.90	0.00	3.72
27	9	2021	25.30	32.00	0.00	2.80
28	9	2021	26.00	31.00	0.00	3.99
29	9	2021	25.00	30.40	0.00	2.08
30	9	2021	25.10	31.70	0.00	1.79
1	10	2021	26.10	31.10	0.00	4.35
2	10	2021	25.20	31.10	0.00	3.41
3	10	2021	24.90	32.30	0.00	4.10
4	10	2021	25.90	31.70	0.00	11.44
5	10	2021	25.50	31.70	0.00	10.69
6	10	2021	24.90	30.80	0.00	10.75
7	10	2021	25.60	30.40	0.00	11.07
8	10	2021	25.40	31.70	0.00	11.48
9	10	2021	24.40	30.30	0.00	9.15
10	10	2021	26.10	31.60	0.00	9.20
11	10	2021	25.20	32.00	0.00	13.77
12	10	2021	25.30	31.80	0.00	11.39
13	10	2021	25.50	31.40	0.00	14.23
14	10	2021	25.10	31.30	0.00	14.90
15	10	2021	25.60	32.20	0.00	12.57
16	10	2021	26.10	32.20	0.00	5.04
17	10	2021	25.80	31.90	0.00	6.68
18	10	2021	26.10	30.60	0.00	8.26
19	10	2021	25.20	32.20	0.00	8.35
20	10	2021	25.30	31.50	0.00	8.45
