;tmin;tmax;precip;rh;vento;rad
2022-01-01;21.9;31.6;0.2;83.25;0.325;18505.5
2022-01-02;23.3;32.1;0.2;78.29166666666667;0.4708333333333334;17913.3
2022-01-03;22.3;25.9;117.2;86.79166666666667;0.4166666666666667;4917.3
2022-01-04;22.7;31.7;0.0;82.75;0.3125;15391.9
2022-01-05;23.6;31.5;0.4;78.29166666666667;0.6666666666666666;21024.0
2022-01-06;23.1;31.6;6.4;80.79166666666667;0.32083333333333336;13964.1
2022-01-07;23.3;33.2;0.2;76.54166666666667;0.5041666666666667;20397.4
2022-01-08;24.5;31.6;0.2;78.0;0.15;13197.2
2022-01-09;24.4;31.1;0.2;79.0;0.425;14296.1
2022-01-10;22.9;29.4;0.0;82.0;0.41250000000000003;12835.4
2022-01-11;23.6;32.6;4.4;78.625;0.3;17217.0
2022-01-12;23.1;27.9;9.000000000000002;84.79166666666667;0.32916666666666666;5571.3
2022-01-13;22.3;32.2;0.0;79.66666666666667;0.2125;19384.8
2022-01-14;23.0;33.2;0.2;74.20833333333333;0.25;17907.7
2022-01-15;22.3;29.5;15.8;82.79166666666667;0.3416666666666666;9626.6
2022-01-16;21.9;32.3;4.2;80.91666666666667;0.3458333333333334;18856.6
2022-01-17;21.9;32.7;50.2;79.25;0.3333333333333333;21273.3
2022-01-18;23.9;29.7;0.6000000000000001;79.41666666666667;0.34166666666666673;14014.8
2022-01-19;21.4;33.0;0.4;78.29166666666667;0.2791666666666667;19602.4
2022-01-20;23.4;33.7;0.6000000000000001;73.0;0.4791666666666667;21442.3
2022-01-21;23.3;33.7;0.0;75.375;0.3;19603.0
2022-01-22;23.4;33.7;0.0;74.375;0.2833333333333333;18420.7
2022-01-23;22.1;32.5;4.0;75.29166666666667;0.15;16275.5
2022-01-24;23.6;32.5;0.8;73.91666666666667;0.30416666666666664;18477.8
2022-01-25;22.8;34.4;0.0;71.5;0.39166666666666666;22077.2
2022-01-26;23.6;32.5;0.4;75.625;0.3;16542.8
2022-01-27;22.4;26.5;11.0;84.5;0.25;4480.5
2022-01-28;22.1;29.0;4.0;84.41666666666667;0.049999999999999996;13225.0
2022-01-29;22.7;30.8;14.8;79.875;0.45416666666666666;12722.4
2022-01-30;22.0;32.8;0.0;76.33333333333333;0.3625;21163.3
2022-01-31;23.7;33.0;0.6000000000000001;78.54166666666667;0.14166666666666666;13735.9
2022-02-01;23.0;33.3;4.6;75.83333333333333;0.30416666666666664;20134.7
2022-02-02;23.6;33.1;1.2;77.54166666666667;0.2625;15259.8
2022-02-03;23.0;31.4;0.0;79.75;0.10416666666666667;12887.9
2022-02-04;23.3;33.3;0.0;76.70833333333333;0.26666666666666666;16381.300000000001
2022-02-05;23.3;31.1;0.0;75.5;0.1875;13882.5
2022-02-06;22.6;33.5;0.4;76.375;0.22916666666666666;17685.4
2022-02-07;22.3;32.9;7.4;77.875;0.27499999999999997;19827.7
2022-02-08;23.8;34.1;0.0;73.16666666666667;0.22083333333333333;20740.1
2022-02-09;24.0;31.5;5.2;79.20833333333333;0.3625;12217.5
2022-02-10;22.9;32.7;3.6;79.66666666666667;0.22499999999999998;17174.3
2022-02-11;22.7;32.6;0.6000000000000001;74.75;0.3125;17298.2
2022-02-12;23.6;33.1;1.4;75.0;0.6291666666666667;19681.7
2022-02-13;23.4;30.2;1.4;78.75;0.4791666666666667;14817.8
2022-02-14;22.7;32.5;21.2;80.08333333333333;0.39999999999999997;18219.0
2022-02-15;22.4;33.1;7.2;83.54166666666667;0.20833333333333334;14770.1
2022-02-16;21.4;27.8;37.6;88.45833333333333;0.225;4401.1
2022-02-17;21.1;32.6;51.0;83.41666666666667;0.4041666666666666;21159.6
2022-02-18;21.8;33.2;1.2;77.54166666666667;0.07916666666666666;20597.8
2022-02-19;22.8;28.9;16.2;80.16666666666667;0.19583333333333333;8189.5
2022-02-20;22.3;33.1;6.6000000000000005;80.125;0.3625;19322.3
2022-02-21;22.2;33.4;3.8000000000000003;74.54166666666667;0.3625;23640.5
2022-02-22;23.0;31.8;4.6000000000000005;81.04166666666667;0.0375;11113.5
2022-02-23;23.2;32.8;6.2;81.79166666666667;0.49583333333333335;17162.9
2022-02-24;23.1;31.1;5.4;80.45833333333333;0.05000000000000001;12628.1
2022-02-25;23.7;31.7;4.6000000000000005;83.33333333333333;0.2125;9542.5
2022-02-26;22.4;32.5;0.0;82.08333333333333;0.4166666666666667;17074.3
2022-02-27;22.2;32.6;2.2;79.25;0.3541666666666667;18070.7
2022-02-28;22.8;32.5;2.8;77.25;0.29583333333333334;17549.9
2022-03-01;23.5;29.4;7.8;81.125;0.24166666666666667;11770.4
2022-03-02;22.5;30.4;0.6000000000000001;78.45833333333333;0.26666666666666666;11700.1
2022-03-03;22.7;31.3;15.2;82.95833333333333;0.24166666666666667;12633.7
2022-03-04;22.4;31.6;0.0;81.04166666666667;0.18333333333333335;15562.2
2022-03-05;21.9;31.6;15.200000000000001;81.91666666666667;0.4166666666666667;14498.400000000001
2022-03-06;21.7;32.6;0.4;81.58333333333333;0.2041666666666667;19553.4
2022-03-07;22.8;32.2;11.8;80.70833333333333;0.24166666666666667;16253.1
2022-03-08;22.9;33.2;0.6000000000000001;77.41666666666667;0.3541666666666667;20739.8
2022-03-09;24.6;33.5;2.2;77.45833333333333;0.21666666666666667;18233.0
2022-03-10;22.4;31.4;36.2;84.91666666666667;0.2333333333333333;9068.3
2022-03-11;22.5;29.9;20.2;86.875;0.775;13107.9
2022-03-12;22.5;33.1;0.6000000000000001;80.66666666666667;0.27499999999999997;20098.3
2022-03-13;22.7;33.1;0.0;74.79166666666667;0.3833333333333333;20005.2
2022-03-14;22.3;31.7;3.4000000000000004;78.375;0.26666666666666666;15364.300000000001
2022-03-15;23.3;30.9;0.0;78.54166666666667;0.7083333333333334;15901.6
2022-03-16;21.7;32.1;42.4;78.45833333333333;0.4875;21021.8
2022-03-17;23.5;33.1;0.4;74.83333333333333;0.3416666666666666;22569.2
2022-03-18;23.3;30.6;3.0;82.29166666666667;0.3333333333333333;11366.300000000001
2022-03-19;22.7;31.7;31.2;80.125;0.7000000000000001;21875.5
2022-03-20;23.3;31.7;14.8;82.20833333333333;0.25416666666666665;15949.5
2022-03-21;23.0;32.9;0.8;78.83333333333333;0.3416666666666666;20941.9
2022-03-22;22.2;27.5;12.8;83.5;0.375;10577.5
2022-03-23;23.6;31.9;3.6;81.5;0.6625;17560.6
2022-03-24;23.3;32.0;12.4;77.95833333333333;0.7666666666666666;18881.5
2022-03-25;22.8;32.9;0.4;77.25;0.42916666666666664;19881.5
2022-03-26;23.6;33.0;0.2;77.83333333333333;0.28750000000000003;15774.5
2022-03-27;23.6;32.2;2.2;79.0;0.4291666666666667;15674.2
2022-03-28;22.0;31.5;26.0;82.625;0.5041666666666667;17075.7
2022-03-29;22.1;29.4;121.0;83.54166666666667;0.7000000000000001;13361.6
2022-03-30;22.2;32.3;16.0;82.33333333333333;0.5083333333333334;16754.7
2022-03-31;23.6;30.2;1.0;80.125;0.5125000000000001;13997.6
2022-04-01;23.0;33.0;0.2;78.66666666666667;0.15416666666666667;18118.1
2022-04-02;23.0;34.0;6.0;75.08333333333333;0.6124999999999999;22785.9
2022-04-03;22.7;30.9;6.0;82.33333333333333;0.42083333333333334;15509.3
2022-04-04;23.4;32.3;19.8;82.79166666666667;0.3458333333333334;16539.1
2022-04-05;24.4;31.2;3.4000000000000004;81.83333333333333;0.2625;13018.8
2022-04-06;23.0;32.0;0.7999999999999999;78.91666666666667;0.24583333333333335;17560.2
2022-04-07;22.8;32.1;0.0;74.45833333333333;0.3125;17374.6
2022-04-08;23.7;33.1;0.0;74.16666666666667;0.7041666666666666;17952.4
2022-04-09;22.8;32.1;7.8;79.375;0.3125;14506.9
2022-04-10;22.5;32.2;6.0;79.625;0.225;18266.3
2022-04-11;23.0;32.8;3.0000000000000004;78.45833333333333;0.32083333333333336;18627.1
2022-04-12;23.8;34.1;0.0;72.58333333333333;0.5458333333333333;18779.0
2022-04-13;24.3;33.6;9.200000000000001;75.79166666666667;0.4791666666666667;21579.8
2022-04-14;23.5;33.5;0.0;72.54166666666667;0.19583333333333333;18093.7
2022-04-15;23.9;33.7;0.0;72.58333333333333;0.31666666666666665;18447.9
2022-04-16;24.5;33.2;0.0;72.79166666666667;0.6791666666666667;16576.8
2022-04-17;21.4;30.0;28.2;80.70833333333333;0.5625;13417.7
2022-04-18;23.7;32.3;0.4;77.5;0.07083333333333333;17811.0
2022-04-19;23.4;32.0;2.4000000000000004;77.75;0.7708333333333334;17644.7
2022-04-20;23.4;31.6;1.2000000000000002;79.45833333333333;0.25;16508.0
2022-04-21;23.5;33.9;0.0;73.75;0.4583333333333333;19100.5
2022-04-22;23.3;32.7;0.6;76.75;0.36666666666666664;18101.2
2022-04-23;22.6;29.2;10.2;81.0;0.5791666666666667;10895.199999999999
2022-04-24;22.4;31.8;0.0;74.875;0.5958333333333333;17607.0
2022-04-25;21.8;34.0;0.0;70.45833333333333;0.9375;21732.6
2022-04-26;22.8;33.6;0.0;67.66666666666667;0.9249999999999999;21905.9
2022-04-27;23.9;34.7;0.0;65.875;0.32083333333333336;20629.9
2022-04-28;22.7;34.1;0.0;70.0;0.6875;18838.0
2022-04-29;22.5;33.7;0.0;69.29166666666667;0.5333333333333333;18591.8
2022-04-30;22.9;33.6;0.0;69.20833333333333;0.5208333333333334;19495.6
2022-05-01;23.5;34.7;0.0;67.5;0.6291666666666667;19792.2
2022-05-02;22.2;34.9;0.0;67.33333333333333;0.4083333333333334;19732.8
2022-05-03;23.3;33.6;0.0;71.95833333333333;0.14166666666666666;18176.3
2022-05-04;22.9;32.5;20.400000000000002;78.16666666666667;0.35833333333333334;15191.6
2022-05-05;22.6;33.2;4.2;75.875;0.44166666666666665;19484.9
2022-05-06;22.4;34.0;0.0;72.125;0.5750000000000001;21407.2
2022-05-07;22.4;32.9;1.4000000000000001;76.25;0.07916666666666666;18365.899999999998
2022-05-08;21.9;32.6;0.0;75.04166666666667;0.23750000000000002;16898.3
2022-05-09;23.5;31.4;0.0;76.66666666666667;0.20833333333333334;13446.6
2022-05-10;21.5;33.2;0.0;72.58333333333333;0.45416666666666666;19972.2
2022-05-11;22.2;33.2;0.0;73.0;0.225;16311.3
2022-05-12;23.7;33.6;0.0;69.83333333333333;0.05416666666666667;15279.7
2022-05-13;24.1;33.8;0.2;74.08333333333333;0.5291666666666667;15959.6
2022-05-14;23.8;34.1;0.0;71.79166666666667;0.8958333333333334;16565.6
2022-05-15;23.7;33.5;0.0;75.125;0.4916666666666667;12935.699999999999
2022-05-16;23.9;33.8;0.0;73.20833333333333;0.5583333333333333;16482.7
2022-05-17;22.1;33.5;0.0;72.41666666666667;0.016666666666666666;14511.9
2022-05-18;22.4;34.0;0.0;75.29166666666667;0.21666666666666667;17717.9
2022-05-19;21.9;30.6;0.0;63.25;0.6666666666666666;15643.5
2022-05-20;21.3;30.0;0.0;66.45833333333333;0.020833333333333332;12457.1
2022-05-21;20.7;31.5;0.0;71.20833333333333;0.0;14188.3
2022-05-22;22.6;32.1;3.4;74.79166666666667;0.024999999999999998;16824.1
2022-05-23;22.6;34.0;5.6;73.79166666666667;0.0;16786.2
2022-05-24;23.8;32.4;0.2;70.95833333333333;0.9583333333333334;19141.2
2022-05-25;20.6;33.3;0.0;64.79166666666667;0.9833333333333334;18834.0
2022-05-26;21.6;32.9;0.0;66.70833333333333;1.2083333333333333;16815.0
2022-05-27;22.2;32.9;0.0;66.66666666666667;1.2416666666666667;16365.1
2022-05-28;20.6;34.3;0.0;64.58333333333333;0.5499999999999999;18557.899999999998
2022-05-29;20.8;33.7;0.0;63.125;0.6958333333333333;16618.4
2022-05-30;24.1;34.8;0.0;63.125;0.6124999999999999;17379.9
2022-05-31;21.8;33.2;0.8;71.875;0.30833333333333335;15588.0
2022-06-01;22.7;32.3;0.2;73.29166666666667;0.6541666666666667;14212.9
2022-06-02;23.3;32.9;2.2;69.70833333333333;0.3625;16979.4
2022-06-03;21.6;34.4;1.2;69.20833333333333;0.06666666666666667;17167.5
2022-06-04;23.5;31.3;0.0;74.54166666666667;0.35000000000000003;12937.2
2022-06-05;22.6;32.8;0.0;72.04166666666667;0.9708333333333333;17598.8
2022-06-06;23.3;33.1;0.0;67.125;0.8375;13630.6
2022-06-07;22.9;33.4;0.0;65.0;0.6166666666666667;15684.4
2022-06-08;19.9;34.1;0.0;68.08333333333333;0.25833333333333336;14398.7
2022-06-09;20.8;33.8;0.0;67.41666666666667;0.5083333333333333;15283.8
2022-06-10;21.0;34.1;0.0;68.79166666666667;0.47500000000000003;17067.2
2022-06-11;22.6;34.2;0.0;71.375;0.42083333333333334;14582.7
2022-06-12;22.7;34.1;0.2;71.45833333333333;0.25833333333333336;14392.4
2022-06-13;21.5;30.4;62.4;80.91666666666667;0.5916666666666667;15259.9
2022-06-14;21.6;32.7;1.4;80.25;0.3125;14800.7
2022-06-15;20.9;32.1;0.0;73.16666666666667;0.8791666666666668;18090.2
2022-06-16;20.3;33.6;0.0;69.0;0.3458333333333334;18619.4
2022-06-17;20.5;33.8;0.0;66.75;0.3833333333333333;17989.3
2022-06-18;20.8;34.6;0.0;63.541666666666664;0.4583333333333333;18992.6
2022-06-19;20.8;34.0;0.0;65.16666666666667;0.625;17712.2
2022-06-20;20.8;33.3;0.0;66.20833333333333;0.4666666666666666;17905.3
2022-06-21;19.5;33.4;0.0;66.33333333333333;0.5291666666666667;17700.0
2022-06-22;21.9;32.3;0.0;66.41666666666667;0.5499999999999999;13247.4
2022-06-23;19.5;33.9;0.0;63.333333333333336;0.4875;18602.0
2022-06-24;20.0;34.2;0.0;61.583333333333336;0.7250000000000001;18113.4
2022-06-25;21.4;34.3;0.0;61.583333333333336;0.5541666666666666;18810.0
2022-06-26;19.2;34.1;0.0;58.958333333333336;0.2916666666666667;18650.6
2022-06-27;18.0;33.6;0.0;60.958333333333336;0.6625;18843.0
2022-06-28;20.1;34.1;0.0;60.5;0.5333333333333333;18939.4
2022-06-29;20.6;34.0;0.0;62.375;0.2333333333333333;16622.6
2022-06-30;21.1;34.7;0.0;62.791666666666664;0.049999999999999996;16012.1
2022-07-01;20.7;33.9;1.6;69.33333333333333;0.15833333333333333;14497.6
2022-07-02;20.6;33.7;1.2000000000000002;68.91666666666667;0.8875000000000001;16638.2
2022-07-03;21.7;33.3;0.0;58.5;1.1083333333333334;16471.3
2022-07-04;19.8;32.8;0.0;58.125;0.5458333333333333;17137.3
2022-07-05;22.9;33.9;0.0;57.708333333333336;0.3666666666666667;15037.8
2022-07-06;23.0;34.4;0.0;57.458333333333336;0.8708333333333332;16587.4
2022-07-07;20.8;34.6;0.0;58.25;1.0833333333333333;17576.9
2022-07-08;24.4;32.6;0.0;57.375;0.9958333333333335;13735.9
2022-07-09;19.9;35.0;0.0;60.583333333333336;0.48750000000000004;17875.600000000002
2022-07-10;18.5;34.2;0.0;58.291666666666664;0.9249999999999999;17461.2
2022-07-11;21.5;34.2;0.0;52.958333333333336;0.7041666666666666;17794.0
2022-07-12;19.4;35.9;0.0;58.75;0.4916666666666667;17553.3
2022-07-13;20.9;35.0;0.0;60.583333333333336;0.7291666666666666;16494.6
2022-07-14;21.2;33.3;0.0;62.291666666666664;0.5583333333333333;12943.6
2022-07-15;19.8;34.8;0.0;59.375;0.3125;17399.1
2022-07-16;19.7;35.9;0.0;54.916666666666664;0.3416666666666666;18691.2
2022-07-17;18.6;35.6;0.0;55.708333333333336;0.19999999999999998;18059.0
2022-07-18;20.3;35.3;0.0;55.916666666666664;0.7916666666666666;18685.3
2022-07-19;19.6;34.8;0.0;54.416666666666664;0.5958333333333333;18410.5
2022-07-20;19.0;35.4;0.0;54.208333333333336;0.35833333333333334;18214.2
2022-07-21;19.3;34.6;0.0;53.208333333333336;0.47500000000000003;17071.5
2022-07-22;17.7;34.3;0.0;57.25;0.6208333333333333;17528.8
2022-07-23;18.6;34.8;1.0;55.608695652173914;0.717391304347826;19072.1
2022-07-24;19.0;36.2;0.0;55.041666666666664;0.6458333333333334;20225.2
2022-07-25;20.3;35.7;0.0;52.875;0.20833333333333334;20538.3
2022-07-26;19.8;35.7;0.0;51.625;0.4583333333333333;20845.3
2022-07-27;18.9;35.1;0.0;48.833333333333336;0.4291666666666667;19718.7
2022-07-28;19.5;36.1;0.0;52.041666666666664;0.19999999999999998;19787.899999999998
2022-07-29;19.6;36.6;0.0;54.291666666666664;0.04583333333333334;18844.0
2022-07-30;20.2;36.8;1.0;60.083333333333336;0.0;15317.4
2022-07-31;22.6;33.5;0.0;67.95833333333333;0.3625;13789.2
2022-08-01;22.1;34.1;2.2;69.375;0.37916666666666665;14191.8
2022-08-02;20.2;35.8;0.0;57.625;0.8583333333333334;20610.1
2022-08-03;17.6;35.3;0.0;58.125;1.0374999999999999;20742.8
2022-08-04;19.6;35.6;0.0;59.625;0.32916666666666666;18316.8
2022-08-05;20.7;35.0;0.0;57.958333333333336;0.43333333333333335;16787.0
2022-08-06;23.0;36.3;0.0;54.375;0.5791666666666666;20009.7
2022-08-07;20.3;35.4;0.0;59.416666666666664;0.7000000000000001;17544.0
2022-08-08;18.7;37.0;0.0;53.666666666666664;0.7958333333333334;22062.100000000002
2022-08-09;18.2;37.1;0.0;50.041666666666664;1.0;20620.1
2022-08-10;18.5;36.3;0.0;52.583333333333336;0.6541666666666667;20902.6
2022-08-11;20.2;36.2;0.0;55.0;0.6625;21798.4
2022-08-12;20.5;34.0;0.0;61.291666666666664;0.09583333333333333;16448.9
2022-08-13;22.0;33.8;0.0;64.04166666666667;0.5291666666666667;14431.1
2022-08-14;19.1;35.3;0.0;58.458333333333336;0.22916666666666666;19899.1
2022-08-15;17.9;36.0;0.0;50.416666666666664;0.6791666666666667;22203.3
2022-08-16;17.8;36.8;0.0;47.166666666666664;0.39166666666666666;21479.7
2022-08-17;18.0;36.7;0.0;45.916666666666664;0.8583333333333334;21757.899999999998
2022-08-18;19.3;36.6;0.0;48.791666666666664;0.8624999999999999;19740.7
2022-08-19;21.1;37.4;0.0;50.583333333333336;0.425;20778.7
2022-08-20;20.4;37.4;0.0;48.375;0.32916666666666666;19717.2
2022-08-21;18.7;36.1;0.0;42.166666666666664;0.6208333333333333;21120.4
2022-08-22;17.3;36.5;0.0;43.833333333333336;0.7458333333333332;18909.1
2022-08-23;20.2;37.1;0.0;44.541666666666664;1.1875;21261.3
2022-08-24;21.1;36.6;0.0;50.583333333333336;0.8208333333333333;19529.7
