;tmin;tmax;precip;rh;vento;rad
2022-01-01;21.9;31.6;0.4;83.25;0.325;37011.0
2022-01-02;23.3;32.1;0.4;78.29166666666667;0.4708333333333334;35826.6
2022-01-03;22.3;25.9;234.4;86.79166666666667;0.4166666666666667;9834.6
2022-01-04;22.7;31.7;0.0;82.75;0.3125;30783.8
2022-01-05;23.6;31.5;0.8;78.29166666666667;0.6666666666666666;42048.0
2022-01-06;23.1;31.6;12.8;80.79166666666667;0.32083333333333336;27928.2
2022-01-07;23.3;33.2;0.4;76.54166666666667;0.5041666666666667;40794.8
2022-01-08;24.5;31.6;0.4;78.0;0.15;26394.4
2022-01-09;24.4;31.1;0.4;79.0;0.425;28592.2
2022-01-10;22.9;29.4;0.0;82.0;0.41250000000000003;25670.8
2022-01-11;23.6;32.6;8.8;78.625;0.3;34434.0
2022-01-12;23.1;27.9;18.0;84.79166666666667;0.32916666666666666;11142.6
2022-01-13;22.3;32.2;0.0;79.66666666666667;0.2125;38769.6
2022-01-14;23.0;33.2;0.4;74.20833333333333;0.25;35815.4
2022-01-15;22.3;29.5;31.6;82.79166666666667;0.3416666666666666;19253.2
2022-01-16;21.9;32.3;8.4;80.91666666666667;0.3458333333333334;37713.2
2022-01-17;21.9;32.7;100.4;79.25;0.3333333333333333;42546.6
2022-01-18;23.9;29.7;1.2000000000000002;79.41666666666667;0.34166666666666673;28029.6
2022-01-19;21.4;33.0;0.8;78.29166666666667;0.2791666666666666;39204.8
2022-01-20;23.4;33.7;1.2000000000000002;73.0;0.4791666666666667;42884.6
2022-01-21;23.3;33.7;0.0;75.375;0.3;39206.0
2022-01-22;23.4;33.7;0.0;74.375;0.2833333333333333;36841.4
2022-01-23;22.1;32.5;8.0;75.29166666666667;0.15;32551.0
2022-01-24;23.6;32.5;1.6;73.91666666666667;0.30416666666666664;36955.6
2022-01-25;22.8;34.4;0.0;71.5;0.39166666666666666;44154.4
2022-01-26;23.6;32.5;0.8;75.625;0.3;33085.6
2022-01-27;22.4;26.5;22.0;84.5;0.25;8961.0
2022-01-28;22.1;29.0;8.0;84.41666666666667;0.049999999999999996;26450.0
2022-01-29;22.7;30.8;29.6;79.875;0.45416666666666666;25444.8
2022-01-30;22.0;32.8;0.0;76.33333333333333;0.3625;42326.6
2022-01-31;23.7;33.0;1.2000000000000002;78.54166666666667;0.14166666666666666;27471.8
2022-02-01;23.0;33.3;9.2;75.83333333333333;0.30416666666666664;40269.4
2022-02-02;23.6;33.1;2.4;77.54166666666667;0.2625;30519.6
2022-02-03;23.0;31.4;0.0;79.75;0.10416666666666667;25775.8
2022-02-04;23.3;33.3;0.0;76.70833333333333;0.26666666666666666;32762.6
2022-02-05;23.3;31.1;0.0;75.5;0.1875;27765.0
2022-02-06;22.6;33.5;0.8;76.375;0.22916666666666666;35370.8
2022-02-07;22.3;32.9;14.8;77.875;0.27499999999999997;39655.4
2022-02-08;23.8;34.1;0.0;73.16666666666667;0.22083333333333333;41480.2
2022-02-09;24.0;31.5;10.4;79.20833333333333;0.3625;24435.0
2022-02-10;22.9;32.7;7.199999999999999;79.66666666666667;0.225;34348.6
2022-02-11;22.7;32.6;1.2000000000000002;74.75;0.3125;34596.4
2022-02-12;23.6;33.1;2.8;75.0;0.6291666666666667;39363.4
2022-02-13;23.4;30.2;2.8;78.75;0.4791666666666667;29635.6
2022-02-14;22.7;32.5;42.4;80.08333333333333;0.39999999999999997;36438.0
2022-02-15;22.4;33.1;14.4;83.54166666666667;0.20833333333333334;29540.2
2022-02-16;21.4;27.8;75.2;88.45833333333333;0.225;8802.2
2022-02-17;21.1;32.6;102.0;83.41666666666667;0.4041666666666666;42319.2
2022-02-18;21.8;33.2;2.4;77.54166666666667;0.07916666666666666;41195.6
2022-02-19;22.8;28.9;32.4;80.16666666666667;0.19583333333333333;16379.0
2022-02-20;22.3;33.1;13.200000000000001;80.125;0.3625;38644.6
2022-02-21;22.2;33.4;7.6000000000000005;74.54166666666667;0.3625;47281.0
2022-02-22;23.0;31.8;9.200000000000001;81.04166666666667;0.0375;22227.0
2022-02-23;23.2;32.8;12.4;81.79166666666667;0.49583333333333335;34325.8
2022-02-24;23.1;31.1;10.8;80.45833333333333;0.049999999999999996;25256.2
2022-02-25;23.7;31.7;9.200000000000001;83.33333333333333;0.2125;19085.0
2022-02-26;22.4;32.5;0.0;82.08333333333333;0.4166666666666667;34148.6
2022-02-27;22.2;32.6;4.4;79.25;0.3541666666666667;36141.4
2022-02-28;22.8;32.5;5.6;77.25;0.29583333333333334;35099.8
2022-03-01;23.5;29.4;15.6;81.125;0.24166666666666667;23540.8
2022-03-02;22.5;30.4;1.2000000000000002;78.45833333333333;0.26666666666666666;23400.2
2022-03-03;22.7;31.3;30.4;82.95833333333333;0.24166666666666667;25267.4
2022-03-04;22.4;31.6;0.0;81.04166666666667;0.18333333333333335;31124.4
2022-03-05;21.9;31.6;30.400000000000002;81.91666666666667;0.4166666666666667;28996.800000000003
