Date,Tensao_Media_Atual_kPa,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm,DAP
2021-01-09,33.16627496292387,0.0,32.5,4.8390050275348315,1
2021-01-10,47.610658490314435,0.0,32.2,2.421814318914706,2
2021-01-11,47.610658490314435,0.0,32.2,2.2951392311732897,3
2021-01-12,47.610658490314435,0.0,32.3,2.5819088262896477,4
2021-01-13,47.610658490314435,0.0,32.8,3.1346863813934833,5
2021-01-14,47.610658490314435,0.0,32.8,2.2707944404533413,6
2021-01-15,47.610658490314435,0.0,32.8,1.962201121385032,7
2021-01-16,47.610658490314435,0.0,31.0,2.450865491097874,8
2021-01-17,47.610658490314435,0.0,29.5,1.9947901305508002,9
2021-01-19,47.610658490314435,0.0,31.0,4.029803520704755,1
2021-01-20,47.610658490314435,0.0,31.0,1.2175301850945568,2
2021-01-21,49.7178504750698,0.0,31.0,2.3300324308186267,3
2021-01-22,53.78933301812708,0.0,30.8,3.8226191677513657,4
2021-01-23,57.54380663353109,0.0,29.8,3.824551877932734,5
2021-01-24,60.61224935168734,0.0,30.9,1.4967167873340304,6
2021-01-25,61.75992774219786,0.0,31.5,1.173598811393756,7
2021-01-26,62.02537991719208,0.0,31.5,1.788395387733739,8
2021-01-27,62.05504201770499,0.0,31.5,3.3962064686563282,9
2021-01-28,62.05504201770499,0.0,32.0,1.5747327523156898,10
2021-01-29,62.05504201770499,0.0,32.0,0.42214675618893543,11
2021-01-30,62.05504201770499,0.0,32.0,2.7943072411704657,12
2021-01-31,62.05504201770499,0.0,32.0,4.1123592603869765,13
2021-02-01,62.05504201770499,0.0,32.0,5.705150356313887,14
2021-02-02,62.05504201770499,0.0,32.0,4.5766219416107035,15
2021-02-03,62.05504201770499,0.0,32.2,4.7406255084441105,16
2021-02-04,62.05504201770499,0.0,34.9,4.461462817471532,17
2021-02-05,62.05504201770499,0.0,34.9,4.640215996912262,18
2021-02-06,62.05504201770499,0.0,34.9,7.089953917439658,19
2021-02-07,62.05504201770499,0.0,31.7,7.894438930247671,20
2021-02-08,62.05504201770499,0.0,29.4,4.812217301140907,21
2021-02-09,62.05504201770499,0.0,29.7,1.7745310111827939,22
2021-02-10,62.05504201770499,0.0,31.2,1.114272222450155,23
2021-02-11,62.05504201770499,0.0,31.9,0.25021155650527954,24
2021-02-12,62.05504201770499,0.0,31.9,1.7482216555273626,25
2021-02-13,62.05504201770499,0.0,31.9,1.7986360823883072,26
2021-02-14,62.05504201770499,0.0,28.4,0.6187304102920748,27
2021-02-15,62.05504201770499,0.0,27.8,0.36125254669146956,28
2021-02-16,62.05504201770499,0.0,27.8,2.4088552113884676,29
2021-02-17,62.05504201770499,0.0,29.7,3.0753870671877133,30
2021-02-18,62.05504201770499,0.0,29.7,1.7508634366766422,31
2021-02-19,62.05504201770499,0.0,29.7,1.7617152206412747,32
2021-02-20,62.05504201770499,0.0,29.4,2.9697332787278885,33
2021-02-21,62.05504201770499,0.0,29.7,1.4731965438794545,34
2021-02-22,62.05504201770499,0.0,30.3,0.6765320204100098,35
2021-02-23,62.05504201770499,0.0,30.3,0.3194345994640173,36
2021-02-24,62.05504201770499,0.0,30.3,0.49891602756613357,37
2021-02-25,62.05504201770499,0.0,30.3,0.9648011787081553,38
2021-02-26,62.05504201770499,0.0,30.3,0.9605247851652476,39
2021-02-27,62.05504201770499,0.0,30.3,0.5296217303419404,40
2021-02-28,62.05504201770499,0.0,31.8,3.3382344116745206,41
2021-03-01,62.05504201770499,0.0,31.8,3.12444899180456,42
2021-03-02,62.05504201770499,0.0,31.8,2.4858974213328504,43
2021-03-03,62.05504201770499,0.0,31.3,1.3350611298826949,44
2021-03-04,62.05504201770499,0.0,31.3,0.869636822919706,45
