tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,classe_irrigacao
14.162822550454633,6.04,28.77,14.0,0
14.162822550454633,6.4,29.92,15.0,0
15.39472924359975,6.94,29.92,16.0,1
16.978691957690106,3.52,30.76,17.0,1
16.564129891654478,9.780000000000001,30.76,18.0,0
13.867090273676947,14.969999999999999,30.76,19.0,0
13.42313117676931,12.49,29.28,20.0,0
15.464896981460171,21.93,29.74,21.0,0
10.856513685947798,19.689999999999998,29.74,22.0,0
12.741773648862333,23.259999999999998,30.09,23.0,0
14.21852677251598,10.190000000000001,30.58,24.0,0
15.21207694345874,7.85,30.58,25.0,0
15.569508105365632,4.37,30.58,26.0,1
16.850152726299676,2.8099999999999996,30.08,27.0,1
16.174989037486647,2.96,30.08,28.0,1
16.56178432024123,8.28,29.78,29.0,0
15.564594476284388,7.53,30.82,30.0,1
17.192671678719055,7.66,31.73,31.0,1
16.4402800820216,13.459999999999999,31.73,32.0,0
13.642639174967167,27.85,31.73,33.0,0
10.88151905423133,40.21,30.61,34.0,0
10.569328885493318,35.64,30.61,35.0,0
12.633994975220952,22.56,30.92,36.0,0
15.165004144277582,9.42,30.92,37.0,1
17.034617342184216,4.3100000000000005,31.47,38.0,1
16.369905282396555,14.950000000000001,31.51,39.0,0
13.487515122876244,20.59,31.51,40.0,0
13.419778974044647,21.970000000000002,31.51,41.0,0
14.777066529945985,9.43,31.36,42.0,0
16.900880166881155,3.5,31.36,43.0,1
16.368367054080107,10.25,30.83,44.0,0
14.149167099480179,20.08,30.83,45.0,0
12.405547121842131,25.950000000000003,30.41,46.0,0
13.376118105652402,16.48,30.41,47.0,0
15.845771036305576,11.24,31.53,48.0,0
16.028203275483122,10.98,31.53,49.0,0
14.975995906734898,14.549999999999999,31.53,50.0,0
15.106949076650105,11.36,30.28,51.0,0
16.045134052352207,13.33,30.28,52.0,0
14.546026921912107,28.47,30.28,53.0,0
10.913051642918687,34.9,29.53,54.0,0
12.655508481998888,35.26,29.92,55.0,0
12.814870814915881,21.25,29.92,56.0,0
13.769029699380825,16.41,30.65,57.0,0
14.695292787395436,15.440000000000001,30.65,58.0,0
13.444685826155194,34.33,30.65,59.0,0
9.842877950013388,48.160000000000004,29.43,60.0,0
10.634541390347872,57.99000000000001,29.43,61.0,0
10.520299832159365,49.52,29.43,62.0,0
10.842608359491868,33.53,30.85,63.0,0
14.623675672822525,18.29,30.85,64.0,0
16.194780964547792,3.27,30.85,65.0,1
16.73005085327875,2.95,30.79,66.0,1
16.73005085327875,3.1900000000000004,30.15,67.0,1
16.73005085327875,6.65,30.15,68.0,0
16.476647947905104,7.880000000000001,29.84,69.0,1
16.73005085327875,5.750000000000001,31.16,70.0,1
16.73005085327875,2.1000000000000005,31.16,71.0,1
16.73005085327875,16.25,31.16,72.0,0
13.02172018622905,20.479999999999997,30.39,73.0,0
14.07491790043381,20.3,30.39,74.0,0
15.750807261838398,5.9799999999999995,31.05,75.0,1
16.73005085327875,5.55,31.05,76.0,1
16.73005085327875,13.59,31.05,77.0,0
15.117079427022507,29.29,30.41,78.0,0
11.24522712687765,26.64,30.41,79.0,0
14.64641723110691,24.299999999999997,30.13,80.0,0
14.382666264012263,29.36,30.13,81.0,0
10.05096630686276,29.77,30.87,82.0,0
14.803512483287019,26.9,31.45,83.0,0
15.95470342238797,10.409999999999997,31.45,84.0,0
15.397171812201641,16.049999999999997,31.45,85.0,0
14.31920718763781,30.409999999999997,31.4,86.0,0
10.981748214050295,75.16,31.34,87.0,0
6.841660645758796,67.97999999999999,30.81,88.0,0
15.09008332863129,54.08999999999999,31.55,89.0,0
16.209470509828027,52.769999999999996,31.55,90.0,0
7.285857508650474,56.96,31.55,91.0,0
13.255649584057055,80.4,29.68,92.0,0
9.511340698592264,45.18,30.52,93.0,0
11.041707056626981,41.04,31.32,94.0,0
15.208621863729935,19.0,31.32,95.0,0
15.03962202562274,8.18,31.32,96.0,0
14.939307956365806,10.379999999999999,30.1,97.0,0
15.266602400507535,7.1899999999999995,31.49,98.0,0
16.012508059982157,6.609999999999999,31.49,99.0,0
16.1801074549318,14.59,31.49,100.0,0
13.75394665011397,18.689999999999998,31.08,101.0,0
13.693813166363167,25.86,31.08,102.0,0
12.498527761903695,17.389999999999997,30.95,103.0,0
14.456063597998622,13.119999999999997,30.65,104.0,0
15.456019827087669,3.859999999999998,30.5,105.0,0
16.24813026216328,0.02,33.81,14.0,1
16.24813026216328,0.02,33.81,15.0,1
17.334271776830626,0.02,33.86,16.0,1
16.805771841129616,0.01,34.21,17.0,1
16.260747679016966,0.12,34.21,18.0,1
17.03266695220532,0.13,34.21,19.0,1
16.40123123435097,0.12,35.48,20.0,1
17.099646639242096,0.01,35.48,21.0,1
16.486608495824434,0.0,35.48,22.0,1
17.076026076052976,0.0,34.58,23.0,1
16.318343137542776,0.0,34.5,24.0,1
16.7749684576588,0.0,34.02,25.0,1
17.260685546682293,0.0,34.62,26.0,1
16.519077561560213,0.0,34.7,27.0,1
16.90335526592001,0.0,35.26,28.0,1
16.18045876332273,0.0,35.64,29.0,1
16.561908148632977,0.0,35.64,30.0,1
16.92210288435304,0.0,35.71,31.0,1
17.248320381459045,0.0,35.71,32.0,1
16.52227949035264,0.0,35.71,33.0,1
16.808049809945196,0.0,34.9,34.0,1
17.069887648604393,0.1,35.13,35.0,1
16.35633317163939,0.28,35.18,36.0,1
16.631877908281982,1.53,35.18,37.0,1
16.90650791444725,4.54,35.18,38.0,1
17.140561429819225,4.5,33.85,39.0,1
16.38422937989359,3.25,33.84,40.0,1
16.56009935604979,0.13999999999999957,33.92,41.0,1
16.679767018627164,0.0,34.73,42.0,1
16.792610459747234,0.019999999999999556,34.73,43.0,1
16.953616335517964,0.019999999999999556,35.49,44.0,1
17.101917219757645,0.019999999999999556,35.98,45.0,1
16.366671830782717,0.8799999999999996,35.98,46.0,1
16.51201273552883,1.2699999999999996,35.98,47.0,1
16.623604464110187,1.3399999999999996,35.21,48.0,1
16.721883076954978,0.4599999999999996,35.25,49.0,2
16.730050853278673,0.06999999999999956,35.25,50.0,2
16.730050853278673,0.0,35.25,51.0,1
16.730050853278673,0.0,35.5,52.0,2
16.730050853278673,0.0,35.5,53.0,2
16.730050853278673,0.0,35.68,54.0,2
16.730050853278673,0.0,36.95,55.0,2
16.730050853278673,0.0,36.95,56.0,2
16.730050853278673,0.0,36.95,57.0,2
16.730050853278673,0.34999999999999953,36.93,58.0,1
16.730050853278673,0.4599999999999995,36.03,59.0,2
16.730050853278673,0.4599999999999995,37.3,60.0,2
16.730050853278673,0.10999999999999956,37.42,61.0,2
16.730050853278673,0.0,37.42,62.0,2
16.730050853278673,0.0,37.84,63.0,2
16.730050853278673,0.0,38.27,64.0,2
16.730050853278673,0.0,38.27,65.0,2
16.730050853278673,0.0,38.27,66.0,2
16.730050853278673,0.0,37.73,67.0,2
16.730050853278673,0.0,37.02,68.0,2
16.730050853278673,0.0,36.42,69.0,2
16.730050853278673,0.0,37.12,70.0,2
16.730050853278673,0.0,37.26,71.0,2
16.730050853278673,0.0,37.51,72.0,2
16.730050853278673,0.0,37.83,73.0,2
16.730050853278673,0.0,38.52,74.0,2
16.730050853278673,0.0,38.99,75.0,2
16.730050853278673,0.0,38.99,76.0,2
16.730050853278673,0.0,38.99,77.0,2
16.730050853278673,0.0,38.08,78.0,2
