Date,Tensao_Media_Atual_kPa,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm,DAP
2019-01-28,28.66227578863004,0.2,34.5,0.0,1
2019-01-30,31.663939354239233,13.2,34.5,0.0,1
2019-01-31,32.915825670508944,25.0,33.1,0.0,2
2019-02-01,33.132019946939856,25.0,34.6,0.0,3
2019-02-02,33.16182777659219,13.8,34.6,0.0,4
2019-02-03,33.16569952149726,15.4,34.6,0.0,5
2019-02-04,29.95570309077789,18.6,32.7,0.0,6
2019-02-05,29.299767112979545,18.0,33.5,0.0,7
2019-02-06,32.479337950388086,10.2,33.5,0.0,8
2019-02-07,32.65686603058501,7.799999999999999,33.5,0.0,9
2019-02-08,29.207422480255474,6.6,35.0,0.0,10
2019-02-09,31.352692915560386,13.2,35.0,0.0,11
2019-02-10,32.617994529752345,19.0,35.0,0.0,12
2019-02-11,30.531117656543614,25.799999999999997,32.8,0.0,13
2019-02-12,32.59830328463077,13.6,33.5,0.0,14
2019-02-13,33.08865835530375,23.2,33.5,0.0,15
2019-02-14,29.926201544835262,28.0,33.5,0.0,16
2019-02-15,30.54096856038076,28.599999999999998,32.2,0.0,17
2019-02-16,30.588084730445615,32.599999999999994,31.9,0.0,18
2019-02-17,32.73067757212471,21.399999999999995,33.5,0.0,19
2019-02-18,29.002314494856634,22.2,34.3,0.0,20
2019-02-19,28.60224972494546,18.2,34.3,0.0,21
2019-02-20,32.38748727006073,17.8,34.3,0.0,22
2019-02-21,28.08438170344024,23.0,33.7,0.0,23
2019-02-22,32.34851003628773,8.8,33.7,0.0,24
2019-02-23,32.763655601699014,35.0,34.2,0.0,25
2019-02-24,28.978626870717605,30.2,34.2,0.0,26
2019-02-25,32.45446966430516,53.4,34.2,0.0,27
2019-02-26,30.9322912405371,32.6,32.0,0.0,28
2019-02-27,32.15623745036651,32.0,33.4,0.0,29
2019-02-28,27.351677556109376,7.6000000000000005,33.4,0.0,30
2019-03-01,31.98703644472654,13.2,33.4,0.0,31
2019-03-02,27.759707591250226,52.8,32.4,0.0,32
2019-03-03,30.12832605124904,80.8,32.4,0.0,33
2019-03-04,32.48026138776737,97.19999999999999,32.2,0.0,34
2019-03-05,32.941634129266205,56.6,31.9,0.0,35
2019-03-06,28.891182024289286,32.199999999999996,33.5,0.0,36
2019-03-07,26.665608413989364,4.8,34.4,0.0,37
2019-03-08,27.228581547978205,4.6,34.4,0.0,38
2019-03-09,27.25212963652554,6.2,34.4,0.0,39
2019-03-10,32.25180460712013,13.0,33.9,0.0,40
2019-03-11,31.66631481445429,13.2,32.0,0.0,41
2019-03-12,32.91264186978678,7.0,32.8,0.0,42
2019-03-13,33.130647888599356,0.2,33.6,0.0,43
2019-03-14,31.49960868868046,26.4,34.3,0.0,44
2019-03-15,30.55297506735563,26.4,34.3,0.0,45
2019-03-16,32.741294019579854,26.599999999999998,34.3,0.0,46
2019-03-17,33.108372593076524,2.0,33.7,0.0,47
2019-03-18,33.1587462656035,2.0,34.2,0.0,48
2019-03-19,27.716507274698174,35.199999999999996,34.2,0.0,49
2019-03-20,32.28709528687442,53.4,34.2,0.0,50
2019-03-21,33.051248892839254,65.4,31.5,0.0,51
2019-03-22,32.89813143697529,32.2,32.0,0.0,52
2019-03-23,33.120579269736965,63.0,32.0,0.0,53
2019-03-24,27.144800188887263,56.6,33.5,0.0,54
2019-03-25,28.035330325414463,57.8,33.6,0.0,55
2019-03-26,29.12678240529915,8.799999999999999,33.6,0.0,56
2019-03-27,32.479049850436866,9.0,33.6,0.0,57
2019-03-28,26.57109062839906,24.6,33.3,0.0,58
2019-03-29,30.4796076072489,101.8,32.3,0.0,59
2019-03-30,32.45875460781408,96.0,33.7,0.0,60
2019-03-31,32.64609768115831,79.6,34.5,0.0,61
2019-04-01,31.271486030043036,48.2,34.5,0.0,62
2019-04-02,28.615641099892503,109.4,34.5,0.0,63
2019-04-03,26.46665350564065,108.80000000000001,33.5,0.0,64
2019-04-04,32.21915227323304,63.800000000000004,33.5,0.0,65
2019-04-05,33.04228858175218,2.6,34.7,0.0,66
2019-04-06,26.586247721731233,13.6,34.7,0.0,67
2019-04-07,26.346625313495792,34.6,34.7,0.0,68
2019-04-08,32.199122318143,35.6,32.3,0.0,69
2019-04-09,32.55085092974167,24.8,33.6,0.0,70
2019-04-10,33.06575295606987,2.8,33.6,0.0,71
2019-04-11,30.136845467315336,35.0,33.6,0.0,72
2019-04-12,27.334259524013323,50.4,32.7,0.0,73
2019-04-13,32.20574705828187,48.800000000000004,33.1,0.0,74
2019-04-14,33.040509561587,28.0,33.1,0.0,75
2019-04-15,32.85787416679301,16.0,33.3,0.0,76
2019-04-16,27.19595607886501,20.0,33.3,0.0,77
2019-04-17,28.60230097637917,7.6,33.3,0.0,78
2019-04-18,32.3969192943117,3.9999999999999996,33.3,0.0,79
2019-04-19,29.46895400051168,18.6,33.3,0.0,80
2019-04-20,31.37265421287812,20.6,33.3,0.0,81
2019-04-21,31.574608594517272,20.6,33.3,0.0,82
2019-04-22,32.90160033340493,2.0,33.9,0.0,83
2019-04-23,33.129355028729606,0.0,34.6,0.0,84
2019-04-24,28.238285326664368,0.0,34.6,0.0,85
2019-04-25,31.854619604679137,0.0,34.6,0.0,86
2020-01-14,33.151874258248114,0.0,34.5,0.0,1
2020-01-15,33.16441135644316,32.80000000000001,34.5,1.3120194178621585,2
2020-01-16,47.61055853357563,32.80000000000001,34.5,2.6797660058939283,3
2020-01-17,47.610645557140856,33.000000000000014,33.2,3.27047886663567,4
2020-01-18,47.61065681692425,2.000000000000014,33.2,0.0,5
2020-01-19,47.61065827379879,7.600000000000014,32.0,0.0,6
2020-01-20,28.228719367910863,9.600000000000014,31.2,0.0,7
2020-01-21,32.32489442940894,14.200000000000014,33.2,0.0,8
