Date,Tensao_Media_Atual_kPa,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm,DAP
2022-01-16,33.1294592272296,51.2,33.0,0.0,1
2022-01-17,30.153304895615815,1.6,33.7,0.0,2
2022-01-18,32.18961366362041,0.9999999999999999,33.7,0.0,3
2022-01-19,26.82375423476648,0.6,33.7,0.0,4
2022-01-20,32.255560405106166,4.0,33.7,0.0,5
2022-01-21,33.04703585955316,4.8,33.7,0.0,6
2022-01-22,33.150823190547726,4.8,34.4,0.0,7
2022-01-23,33.164275300495646,1.2000000000000002,34.4,0.0,8
2022-01-24,33.16601622515037,11.4,34.4,0.0,9
2022-01-25,33.166241485405926,15.4,32.5,0.755278127670086,10
2022-01-26,60.07273130570289,29.8,30.8,1.8647406358977112,11
2022-01-27,62.05504201770499,18.8,32.8,0.0,12
2022-01-28,62.05504201770499,15.4,33.0,0.0,13
2022-01-29,46.26313909625209,5.199999999999999,33.3,0.0,14
2022-01-30,42.42350634338461,6.3999999999999995,33.3,0.0,15
2022-01-31,29.6225023826705,5.8,33.3,0.0,16
2022-02-01,32.57323527023327,1.2,33.3,0.0,17
2022-02-02,33.084820672408924,0.0,33.3,0.0,18
2022-02-03,33.155678218989024,0.4,33.5,0.0,19
2022-02-04,33.164903699427086,7.800000000000001,33.5,0.0,20
2022-02-05,33.16609753572564,7.800000000000001,34.1,0.0,21
2022-02-06,33.166252006031016,12.600000000000001,34.1,0.0,22
2022-02-07,33.16627199259043,8.8,34.1,0.0,23
2022-02-08,33.16627457860007,9.4,32.7,0.0,24
2022-02-09,33.16627491319717,5.6,33.1,0.0,25
2022-02-10,33.16627495648987,3.4,33.1,0.0,26
2022-02-11,33.16627496209139,24.0,33.1,0.0,27
2022-02-12,33.166274962816146,29.8,33.1,0.23365236744339413,28
2022-02-13,62.05504201770499,66.0,33.1,1.3049492190161391,29
2022-02-14,62.05504201770499,95.8,33.1,0.0,30
2022-02-15,62.05504201770499,89.8,33.2,0.0,31
2022-02-16,29.948784098790682,68.4,33.2,0.0,32
2022-02-17,31.02488453992235,24.0,33.2,0.0,33
2022-02-18,26.923732786172117,26.599999999999998,33.4,0.0,34
2022-02-19,26.672405014382974,15.0,33.4,0.0,35
2022-02-20,32.247035558827804,14.6,33.4,0.0,36
2022-02-21,29.719920874711693,16.200000000000003,32.8,0.0,37
2022-02-22,31.6646569676346,16.2,32.8,0.0,38
2022-02-23,32.96794509956292,10.0,32.5,0.0,39
2022-02-24,32.59929058050087,6.8,32.6,0.0,40
2022-02-25,32.19892040217926,5.0,32.6,0.0,41
2022-02-26,32.011310763756065,12.8,32.6,0.0,42
2022-02-27,32.05736982106927,11.200000000000001,32.5,0.0,43
2022-02-28,33.00605616149595,23.6,31.3,0.0,44
2022-03-01,33.14550076672721,15.799999999999999,31.6,0.0,45
2022-03-02,33.163586307525904,30.4,31.6,0.0,46
2022-03-03,33.16592707247784,15.6,32.6,0.0,47
2022-03-04,33.16622995007894,27.4,32.6,0.0,48
2022-03-05,30.38542407016608,12.8,33.2,0.0,49
2022-03-06,32.69247715025081,14.600000000000001,33.5,0.0,50
2022-03-07,30.044811771428186,39.0,33.5,0.0,51
2022-03-08,32.721258375501094,58.599999999999994,33.5,0.0,52
2022-03-09,30.34235709757867,57.0,33.1,0.0,53
2022-03-10,32.749130097286,20.8,33.1,0.0,54
2022-03-11,33.11180537252737,4.0,33.1,0.0,55
2022-03-12,27.0150545961824,3.4,33.1,0.0,56
2022-03-13,28.280298287190824,45.8,32.1,0.0,57
2022-03-14,32.489885327998934,42.8,33.1,0.0,58
2022-03-15,33.07797598525987,45.8,33.1,0.0,59
2022-03-16,33.15483698849016,34.599999999999994,33.1,0.0,60
2022-03-17,33.16479481202214,49.0,31.7,0.0,61
2022-03-18,26.87754796313789,46.8,32.9,0.0,62
2022-03-19,32.27735253801261,28.400000000000002,32.9,0.0,63
2022-03-20,33.04990419121701,17.200000000000003,32.9,0.0,64
2022-03-21,28.01606724896203,28.8,32.0,0.0,65
2022-03-22,28.090556261456285,16.4,32.9,0.0,66
2022-03-23,32.43164140431206,13.0,33.0,0.0,67
2022-03-24,30.5864867987409,2.8000000000000003,33.0,0.0,68
2022-03-25,32.72865533816943,28.4,33.0,0.0,69
2022-03-26,30.21275080738827,149.2,32.2,0.0,70
2022-03-27,32.744050088133704,163.0,32.3,0.0,71
2022-03-28,33.11132173471747,138.0,32.3,0.0,72
2022-03-29,33.1591592791539,17.2,33.0,0.0,73
2022-03-30,28.910549258125325,7.2,34.0,0.0,74
2022-03-31,26.634534051136377,12.2,34.0,0.0,75
2022-04-01,28.13401158135676,31.8,34.0,0.0,76
2022-04-02,32.34637645120288,29.2,32.3,0.0,77
2022-04-03,33.05905350079014,24.0,32.3,0.0,78
2022-04-04,33.15238265701612,4.2,32.1,0.0,79
2022-04-05,33.164477151858954,0.8,33.1,0.0,80
2022-04-06,29.374356220622637,7.8,33.1,0.0,81
2022-04-07,32.24375117502094,13.8,33.1,0.0,82
2022-04-08,33.045508835652015,16.8,32.8,0.0,83
2022-04-09,33.15062563651888,9.0,34.1,0.0,84
2022-04-10,33.164249739907184,12.2,34.1,0.0,85
2022-04-11,33.16601291793938,9.2,34.1,0.0,86
2022-04-12,33.16624105749456,9.2,33.7,0.0,87
2022-04-13,33.16627057598684,0.0,33.7,0.0,88
2022-04-14,33.16627439530953,28.2,33.7,0.0,89
2022-04-15,33.1662748894817,28.599999999999998,33.2,0.0,90
2022-04-16,33.166274953421386,31.0,32.3,0.0,91
2022-04-17,33.16627496169436,4.0,32.3,0.0,92
2022-04-18,33.16627496276481,3.5999999999999996,33.9,0.0,93
2022-04-19,29.338011219579027,1.7999999999999998,33.9,0.0,94
2022-04-20,32.53604177188137,10.799999999999999,33.9,0.0,95
2022-04-21,33.08232204734995,10.799999999999999,32.7,0.0,96
2022-04-22,33.1554012953134,10.2,34.0,0.0,97
2022-04-23,33.164867859437145,0.0,34.0,0.0,98
2022-04-24,33.16609289832272,0.0,34.7,0.0,99
2022-04-25,33.16625140600674,0.0,34.7,0.0,100
2023-01-15,47.610658490314435,2.6,32.4,0.0,1
2023-01-17,32.59968691377965,8.799999999999999,33.6,0.0,1
2023-01-19,33.15624754046351,2.8,33.8,0.0,1
2023-01-20,33.16497737971187,5.8,33.8,0.0,2
2023-01-21,32.63866155955006,13.0,33.1,0.0,3
2023-01-22,33.077521703461855,60.2,33.1,0.0,4
2023-01-23,33.15403146653438,56.800000000000004,33.0,0.0,5
2023-01-24,33.164683121076465,56.20000000000001,33.0,0.0,6
2023-01-25,33.166068994605794,9.0,33.0,0.0,7
2023-01-26,33.16624831315205,9.0,33.8,0.0,8
2023-01-27,26.831080777694396,0.4,33.8,0.0,9
2023-01-28,32.261621013467156,0.0,33.8,0.0,10
2023-01-29,31.429984372564164,13.2,33.7,0.0,11
2023-01-30,32.88034308915196,13.399999999999999,33.7,0.0,12
2023-01-31,33.12649289003906,13.399999999999999,32.2,0.0,13
2023-02-01,33.16108252723009,0.2,33.5,0.0,14
2023-02-02,33.16560308309747,4.6,33.5,0.0,15
2023-02-03,31.730334752345826,6.3999999999999995,33.6,0.0,16
2023-02-04,32.924143955736724,6.8,33.6,0.0,17
2023-02-05,33.132897323502,4.0,33.6,0.0,18
2023-02-06,33.161934502914235,2.2,33.7,0.0,19
