Date,Tensao_Media_Atual_kPa,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm,DAP
2019-01-28,28.66227578863004,0.2,34.5,0.0,1
2019-01-30,31.663939354239236,13.2,34.5,0.0,1
2019-01-31,32.915825670508944,25.0,33.1,0.0,2
2019-02-01,33.132019946939856,25.0,34.6,0.0,3
2019-02-02,33.16182777659219,13.8,34.6,0.0,4
2019-02-03,33.16569952149726,15.4,34.6,0.0,5
2019-02-04,29.95570309077789,18.6,32.7,0.0,6
2019-02-05,29.299767112979545,18.0,33.5,0.0,7
2019-02-06,32.479337950388086,10.2,33.5,0.0,8
2019-02-07,32.65686603058501,7.799999999999999,33.5,0.0,9
2019-02-08,29.207422480255477,6.6,35.0,0.0,10
2019-02-09,31.352692915560382,13.2,35.0,0.0,11
2019-02-10,32.617994529752345,19.0,35.0,0.0,12
2019-02-11,30.53111765654361,25.8,32.8,0.0,13
2019-02-12,32.59830328463077,13.6,33.5,0.0,14
2019-02-13,33.08865835530375,23.2,33.5,0.0,15
2019-02-14,29.926201544835266,28.0,33.5,0.0,16
2019-02-15,30.54096856038076,28.6,32.2,0.0,17
2019-02-16,30.588084730445612,32.599999999999994,31.9,0.0,18
2019-02-17,32.73067757212471,21.399999999999995,33.5,0.0,19
2019-02-18,29.002314494856638,22.2,34.3,0.0,20
2019-02-19,28.60224972494546,18.2,34.3,0.0,21
2019-02-20,32.38748727006073,17.8,34.3,0.0,22
2019-02-21,28.08438170344024,23.0,33.7,0.0,23
2019-02-22,32.34851003628773,8.8,33.7,0.0,24
2019-02-23,32.763655601699014,35.0,34.2,0.0,25
2019-02-24,28.978626870717605,30.2,34.2,0.0,26
2019-02-25,32.45446966430516,53.4,34.2,0.0,27
2019-02-26,30.9322912405371,32.6,32.0,0.0,28
2019-02-27,32.15623745036651,32.0,33.4,0.0,29
2019-02-28,27.351677556109376,7.6,33.4,0.0,30
2019-03-01,31.98703644472654,13.2,33.4,0.0,31
2019-03-02,27.759707591250223,52.8,32.4,0.0,32
2019-03-03,30.12832605124904,80.8,32.4,0.0,33
2019-03-04,32.48026138776737,97.2,32.2,0.0,34
2019-03-05,32.941634129266205,56.6,31.9,0.0,35
2019-03-06,28.89118202428929,32.2,33.5,0.0,36
2019-03-07,26.665608413989364,4.8,34.4,0.0,37
2019-03-08,27.228581547978205,4.6,34.4,0.0,38
2019-03-09,27.25212963652554,6.2,34.4,0.0,39
2019-03-10,32.25180460712013,13.0,33.9,0.0,40
2019-03-11,31.66631481445429,13.2,32.0,0.0,41
2019-03-12,32.91264186978678,7.0,32.8,0.0,42
2019-03-13,33.13064788859936,0.2,33.6,0.0,43
2019-03-14,31.49960868868046,26.4,34.3,0.0,44
