date,ano,dap,tensao_solo_kpa,delta_tensao_kpa,chuva_acum_3d_mm,tmax_max_3d_c,IrrDay_mm,classe_aquacrop,nome_aquacrop,classe_ensemble,nome_ensemble,acertou,consenso_pct,votos_C0,votos_C1,votos_C2
2020-06-14,2020,14,28.9,0.0,0.0,28.8,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,64.3,9,3,2
2020-06-15,2020,15,28.9,0.0,0.0,29.4,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,64.3,9,4,1
2020-06-16,2020,16,31.14,2.233,0.0,29.5,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,57.1,8,3,3
2020-06-17,2020,17,30.05,-1.084,0.0,29.5,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,64.3,9,4,1
2020-06-18,2020,18,32.06,2.007,0.0,29.5,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,57.1,8,3,3
2020-06-19,2020,19,30.94,-1.116,0.0,29.5,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,57.1,8,4,2
2020-06-20,2020,20,32.54,1.595,0.12,29.9,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,4,3
2020-06-21,2020,21,31.24,-1.295,0.14,29.9,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,64.3,9,4,1
2020-06-22,2020,22,33.09,1.846,0.14,29.9,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,4,3
2020-06-23,2020,23,31.84,-1.251,0.15,29.8,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,57.1,8,4,2
2020-06-24,2020,24,33.58,1.739,1.86,29.7,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,4,3
2020-06-25,2020,25,32.27,-1.307,1.88,30.1,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,57.1,8,4,2
2020-06-26,2020,26,34.1,1.826,1.75,30.1,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,4,3
2020-06-27,2020,27,35.97,1.874,0.02,30.3,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,4,3
2020-06-28,2020,28,35.11,-0.863,0.0,30.6,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,5,2
2020-06-29,2020,29,37.25,2.141,0.12,30.7,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,4,3
2020-06-30,2020,30,39.56,2.31,0.13,30.7,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,42.9,6,3,5
2020-07-01,2020,31,38.54,-1.014,0.18,30.7,0.0,0,C0-SemIrrig,0,C0-SemIrrig,1,50.0,7,5,2
2020-07-02,2020,32,41.32,2.776,0.07,30.5,0.0,0,C0-SemIrrig,2,C2-Intensiva,0,42.9,5,3,6
2020-07-03,2020,33,44.37,3.051,1.51,30.9,0.0,0,C0-SemIrrig,2,C2-Intensiva,0,42.9,5,3,6
