data,dap,tensao_solo_kpa,tensao_ontem_kpa,delta_tensao_kpa,chuva_acum_3d_mm,tmax_max_3d_c,classe_predita,consenso_pct,votos_c0,votos_c1,votos_c2,dose_mm,volume_ml,tempo_solenoide_seg,n_regras_total,n_regras_c0,n_regras_c1,n_regras_c2,observacao
2021-10-15,14,21.83,18.0,3.83,0.66,38.9,0,85.7,12,2,0,0.0,0,0,241,110,64,67,Sem irrigação
2021-10-16,15,25.37,21.83,3.54,0.69,38.9,0,100.0,14,0,0,0.0,0,0,239,108,64,67,Sem irrigação
2021-10-17,16,25.97,25.37,0.6,1.4,38.9,0,100.0,14,0,0,0.0,0,0,231,100,64,67,Sem irrigação
2021-10-18,17,28.36,25.97,2.39,7.66,38.65,0,100.0,14,0,0,0.0,0,0,234,103,64,67,Sem irrigação
2021-10-19,18,16.65,28.36,-11.71,8.49,38.65,0,92.9,13,1,0,0.0,0,0,248,117,64,67,Sem irrigação
2021-10-20,19,19.32,16.65,2.67,7.66,37.54,0,100.0,14,0,0,0.0,0,0,255,124,64,67,Sem irrigação
2021-10-21,20,22.69,19.32,3.37,23.68,37.54,0,100.0,14,0,0,0.0,0,0,268,137,64,67,Sem irrigação
2021-10-22,21,14.13,22.69,-8.56,91.65,37.54,0,100.0,14,0,0,0.0,0,0,277,146,64,67,Sem irrigação
2021-10-23,22,7.7,14.13,-6.43,123.03,32.7,0,100.0,14,0,0,0.0,0,0,282,151,64,67,Sem irrigação
2021-10-24,23,5.0,7.7,-2.7,100.47,32.03,0,100.0,14,0,0,0.0,0,0,294,163,64,67,Sem irrigação
2021-10-25,24,7.09,5.0,2.09,31.71,32.53,0,100.0,14,0,0,0.0,0,0,301,170,64,67,Sem irrigação
2021-10-26,25,9.92,7.09,2.83,5.52,32.53,0,100.0,14,0,0,0.0,0,0,311,180,64,67,Sem irrigação
2021-10-27,26,5.0,9.92,-4.92,6.62,32.91,0,100.0,14,0,0,0.0,0,0,315,185,63,67,Sem irrigação
2021-10-28,27,7.49,5.0,2.49,8.03,32.91,0,100.0,14,0,0,0.0,0,0,315,185,63,67,Sem irrigação
2021-10-29,28,9.57,7.49,2.08,3.26,32.91,0,100.0,14,0,0,0.0,0,0,314,184,63,67,Sem irrigação
2021-10-30,29,11.86,9.57,2.29,2.19,32.61,0,100.0,14,0,0,0.0,0,0,314,184,63,67,Sem irrigação
2021-10-31,30,14.36,11.86,2.5,1.55,33.29,0,100.0,14,0,0,0.0,0,0,317,187,63,67,Sem irrigação
2021-11-01,31,18.7,14.36,4.34,6.32,33.29,0,100.0,14,0,0,0.0,0,0,325,195,63,67,Sem irrigação
2021-11-02,32,7.75,18.7,-10.95,11.52,33.29,0,100.0,14,0,0,0.0,0,0,338,208,63,67,Sem irrigação
2021-11-03,33,5.0,7.75,-2.75,13.67,32.52,0,100.0,14,0,0,0.0,0,0,342,212,63,67,Sem irrigação
2021-11-04,34,8.81,5.0,3.81,10.39,31.6,0,100.0,14,0,0,0.0,0,0,346,216,63,67,Sem irrigação
2021-11-05,35,13.16,8.81,4.35,17.65,31.6,0,100.0,14,0,0,0.0,0,0,353,223,63,67,Sem irrigação
2021-11-06,36,5.0,13.16,-8.16,51.66,31.6,0,100.0,14,0,0,0.0,0,0,367,237,63,67,Sem irrigação
2021-11-07,37,5.0,5.0,0.0,56.48,30.87,0,100.0,14,0,0,0.0,0,0,381,251,63,67,Sem irrigação
2021-11-08,38,5.0,5.0,0.0,44.59,30.22,0,100.0,14,0,0,0.0,0,0,387,257,63,67,Sem irrigação
2021-11-09,39,9.58,5.0,4.58,16.91,30.05,0,100.0,14,0,0,0.0,0,0,391,261,63,67,Sem irrigação
2021-11-10,40,5.0,9.58,-4.58,44.13,30.05,0,100.0,14,0,0,0.0,0,0,402,272,63,67,Sem irrigação
2021-11-11,41,5.0,5.0,0.0,43.51,31.73,0,100.0,14,0,0,0.0,0,0,404,274,63,67,Sem irrigação
2021-11-12,42,8.98,5.0,3.98,34.11,32.42,0,100.0,14,0,0,0.0,0,0,410,280,63,67,Sem irrigação
2021-11-13,43,13.59,8.98,4.61,2.67,32.71,0,100.0,14,0,0,0.0,0,0,413,284,62,67,Sem irrigação
2021-11-14,44,16.95,13.59,3.36,6.79,32.71,0,100.0,14,0,0,0.0,0,0,413,284,62,67,Sem irrigação
2021-11-15,45,21.19,16.95,4.24,11.88,32.71,0,100.0,14,0,0,0.0,0,0,420,291,62,67,Sem irrigação
2021-11-16,46,13.16,21.19,-8.03,12.31,32.34,0,100.0,14,0,0,0.0,0,0,429,300,62,67,Sem irrigação
2021-11-17,47,15.35,13.16,2.19,8.96,32.34,0,100.0,14,0,0,0.0,0,0,429,300,62,67,Sem irrigação
2021-11-18,48,18.13,15.35,2.78,3.95,32.38,0,100.0,14,0,0,0.0,0,0,427,298,62,67,Sem irrigação
2021-11-19,49,21.43,18.13,3.3,0.91,32.88,0,100.0,14,0,0,0.0,0,0,427,298,62,67,Sem irrigação
2021-11-20,50,24.44,21.43,3.01,3.76,32.92,0,100.0,14,0,0,0.0,0,0,428,299,62,67,Sem irrigação
2021-11-21,51,28.08,24.44,3.64,6.76,33.21,0,100.0,14,0,0,0.0,0,0,432,303,62,67,Sem irrigação
2021-11-22,52,31.82,28.08,3.74,7.3,33.79,0,85.7,12,1,1,0.0,0,0,434,305,62,67,Sem irrigação
2021-11-23,53,35.4,31.82,3.58,4.92,33.79,0,78.6,11,1,2,0.0,0,0,436,307,62,67,Sem irrigação
2021-11-24,54,39.0,35.4,3.6,1.99,33.79,0,64.3,9,1,4,0.0,0,0,435,306,62,67,Sem irrigação
2021-11-25,55,41.24,39.0,2.24,3.16,33.77,0,57.1,8,1,5,0.0,0,0,436,307,62,67,Sem irrigação
2021-11-26,56,45.58,41.24,4.34,7.42,32.83,0,57.1,8,1,5,0.0,0,0,442,313,62,67,Sem irrigação
2021-11-27,57,34.39,45.58,-11.19,13.74,32.68,0,100.0,14,0,0,0.0,0,0,453,324,62,67,Sem irrigação
2021-11-28,58,20.83,34.39,-13.56,14.63,32.63,0,100.0,14,0,0,0.0,0,0,464,335,62,67,Sem irrigação
2021-11-29,59,24.15,20.83,3.32,20.49,32.63,0,100.0,14,0,0,0.0,0,0,475,346,62,67,Sem irrigação
2021-11-30,60,12.49,24.15,-11.66,17.77,32.63,0,100.0,14,0,0,0.0,0,0,482,353,62,67,Sem irrigação
2021-12-01,61,15.42,12.49,2.93,15.32,32.71,0,100.0,14,0,0,0.0,0,0,490,361,62,67,Sem irrigação
2021-12-02,62,17.97,15.42,2.55,33.77,32.71,0,100.0,14,0,0,0.0,0,0,501,372,62,67,Sem irrigação
2021-12-03,63,7.3,17.97,-10.67,32.09,32.71,0,100.0,14,0,0,0.0,0,0,513,384,62,67,Sem irrigação
2021-12-04,64,12.14,7.3,4.84,42.18,32.4,0,100.0,14,0,0,0.0,0,0,522,393,62,67,Sem irrigação
2021-12-05,65,5.0,12.14,-7.14,21.93,30.29,0,100.0,14,0,0,0.0,0,0,533,404,62,67,Sem irrigação
2021-12-06,66,5.0,5.0,0.0,20.07,32.02,0,100.0,14,0,0,0.0,0,0,545,416,62,67,Sem irrigação
2021-12-07,67,8.02,5.0,3.02,28.45,32.02,0,100.0,14,0,0,0.0,0,0,551,422,62,67,Sem irrigação
2021-12-08,68,5.0,8.02,-3.02,27.83,32.02,0,100.0,14,0,0,0.0,0,0,555,426,62,67,Sem irrigação
2021-12-09,69,5.0,5.0,0.0,31.7,31.46,0,100.0,14,0,0,0.0,0,0,556,428,61,67,Sem irrigação
2021-12-10,70,7.37,5.0,2.37,41.01,29.86,0,100.0,14,0,0,0.0,0,0,564,437,60,67,Sem irrigação
2021-12-11,71,5.0,7.37,-2.37,49.76,29.23,0,100.0,14,0,0,0.0,0,0,574,447,60,67,Sem irrigação
2021-12-12,72,5.0,5.0,0.0,49.31,30.36,0,100.0,14,0,0,0.0,0,0,574,447,60,67,Sem irrigação
2021-12-13,73,9.56,5.0,4.56,21.45,32.08,0,100.0,14,0,0,0.0,0,0,575,448,60,67,Sem irrigação
2021-12-14,74,12.96,9.56,3.4,3.79,32.08,0,100.0,14,0,0,0.0,0,0,582,456,59,67,Sem irrigação
2021-12-15,75,17.17,12.96,4.21,0.43,32.08,0,100.0,14,0,0,0.0,0,0,583,457,59,67,Sem irrigação
2021-12-16,76,21.44,17.17,4.27,0.46,31.66,0,100.0,14,0,0,0.0,0,0,584,458,59,67,Sem irrigação
2021-12-17,77,23.8,21.44,2.36,2.06,31.3,0,100.0,14,0,0,0.0,0,0,584,458,59,67,Sem irrigação
2021-12-18,78,26.57,23.8,2.77,14.91,30.99,0,100.0,14,0,0,0.0,0,0,588,462,59,67,Sem irrigação
2021-12-19,79,19.16,26.57,-7.41,22.8,30.87,0,100.0,14,0,0,0.0,0,0,597,471,59,67,Sem irrigação
2021-12-20,80,15.65,19.16,-3.51,34.38,30.87,0,100.0,14,0,0,0.0,0,0,603,477,59,67,Sem irrigação
2021-12-21,81,7.74,15.65,-7.91,24.48,30.18,0,100.0,14,0,0,0.0,0,0,605,479,59,67,Sem irrigação
2021-12-22,82,13.76,7.74,6.02,16.58,31.76,0,100.0,14,0,0,0.0,0,0,609,483,59,67,Sem irrigação
2021-12-23,83,20.55,13.76,6.79,8.5,31.76,0,100.0,14,0,0,0.0,0,0,608,482,59,67,Sem irrigação
2021-12-24,84,11.5,20.55,-9.05,29.65,31.76,0,100.0,14,0,0,0.0,0,0,611,485,59,67,Sem irrigação
2021-12-25,85,5.0,11.5,-6.5,61.83,29.93,0,100.0,14,0,0,0.0,0,0,619,493,59,67,Sem irrigação
2021-12-26,86,5.0,5.0,0.0,65.53,28.89,0,100.0,14,0,0,0.0,0,0,625,499,59,67,Sem irrigação
2021-12-27,87,5.0,5.0,0.0,44.38,28.89,0,100.0,14,0,0,0.0,0,0,625,499,59,67,Sem irrigação
2021-12-28,88,10.6,5.0,5.6,15.46,30.07,0,100.0,14,0,0,0.0,0,0,629,503,59,67,Sem irrigação
2021-12-29,89,13.2,10.6,2.6,10.19,30.33,0,100.0,14,0,0,0.0,0,0,629,503,59,67,Sem irrigação
2021-12-30,90,14.47,13.2,1.27,23.13,31.19,0,100.0,14,0,0,0.0,0,0,630,504,59,67,Sem irrigação
2021-12-31,91,5.0,14.47,-9.47,83.91,31.19,0,100.0,14,0,0,0.0,0,0,638,512,59,67,Sem irrigação
2022-01-01,92,5.0,5.0,0.0,82.34,31.19,0,100.0,14,0,0,0.0,0,0,645,519,59,67,Sem irrigação
2022-01-02,93,6.26,5.0,1.26,169.71,30.42,0,100.0,14,0,0,0.0,0,0,651,525,59,67,Sem irrigação
2022-01-03,94,5.0,6.26,-1.26,130.12,30.42,0,100.0,14,0,0,0.0,0,0,659,533,59,67,Sem irrigação
