Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2020	20.91	32.35	1.45	3.6719
2	1	2020	22.53	29.71	8.06	3.2610
3	1	2020	22.66	29.70	12.00	2.8866
4	1	2020	22.48	26.64	8.07	1.9136
5	1	2020	21.46	30.16	16.90	4.4381
6	1	2020	22.24	30.66	17.91	2.4768
7	1	2020	22.31	27.63	7.05	3.0240
8	1	2020	21.03	29.62	1.88	4.3185
9	1	2020	21.60	30.57	6.85	3.9184
10	1	2020	23.40	28.90	4.31	3.2677
11	1	2020	22.88	31.11	7.75	3.8797
12	1	2020	22.78	26.65	9.42	2.7925
13	1	2020	21.77	29.80	7.72	4.2872
14	1	2020	22.67	28.19	7.02	3.0299
15	1	2020	22.49	29.36	0.27	4.0615
16	1	2020	23.50	29.80	0.09	4.0538
17	1	2020	22.66	29.26	0.47	4.0971
18	1	2020	23.44	29.30	0.71	3.7149
19	1	2020	23.02	31.36	2.01	4.4224
20	1	2020	22.92	30.88	4.93	4.9039
21	1	2020	22.44	30.84	4.39	3.2945
22	1	2020	22.40	29.63	4.12	3.6062
23	1	2020	22.21	30.15	5.78	3.7522
24	1	2020	22.89	29.90	0.49	4.0507
25	1	2020	22.93	31.72	1.69	4.5687
26	1	2020	22.85	29.75	27.08	4.2027
27	1	2020	22.42	25.73	18.63	1.7906
28	1	2020	21.90	30.57	5.20	3.9648
29	1	2020	22.29	29.78	6.85	4.2374
30	1	2020	21.74	30.44	10.81	4.1201
31	1	2020	22.01	30.95	2.47	4.2094
1	2	2020	22.00	30.37	1.14	4.7816
2	2	2020	21.24	31.51	0.16	4.2477
3	2	2020	22.96	29.51	5.39	3.7267
4	2	2020	22.36	28.72	14.65	3.8881
5	2	2020	22.03	28.08	18.03	3.4636
6	2	2020	20.96	29.54	4.24	4.1846
7	2	2020	22.05	29.05	23.46	3.8107
8	2	2020	21.77	26.54	11.34	2.2636
9	2	2020	21.87	28.68	4.81	3.7353
10	2	2020	22.79	30.22	1.79	3.9069
