date,tmax,tmin,prec
2020-01-01,32.35,20.91,1.45
2020-01-02,29.71,22.53,8.06
2020-01-03,29.7,22.66,12.0
2020-01-04,26.64,22.48,8.07
2020-01-05,30.16,21.46,16.9
2020-01-06,30.66,22.24,17.91
2020-01-07,27.63,22.31,7.05
2020-01-08,29.62,21.03,1.88
2020-01-09,30.57,21.6,6.85
2020-01-10,28.9,23.4,4.31
2020-01-11,31.11,22.88,7.75
2020-01-12,26.65,22.78,9.42
2020-01-13,29.8,21.77,7.72
2020-01-14,28.19,22.67,7.02
2020-01-15,29.36,22.49,0.27
2020-01-16,29.8,23.5,0.09
2020-01-17,29.26,22.66,0.47
2020-01-18,29.3,23.44,0.71
2020-01-19,31.36,23.02,2.01
2020-01-20,30.88,22.92,4.93
2020-01-21,30.84,22.44,4.39
2020-01-22,29.63,22.4,4.12
2020-01-23,30.15,22.21,5.78
2020-01-24,29.9,22.89,0.49
2020-01-25,31.72,22.93,1.69
2020-01-26,29.75,22.85,27.08
2020-01-27,25.73,22.42,18.63
2020-01-28,30.57,21.9,5.2
2020-01-29,29.78,22.29,6.85
2020-01-30,30.44,21.74,10.81
2020-01-31,30.95,22.01,2.47
2020-02-01,30.37,22.0,1.14
2020-02-02,31.51,21.24,0.16
2020-02-03,29.51,22.96,5.39
2020-02-04,28.72,22.36,14.65
2020-02-05,28.08,22.03,18.03
2020-02-06,29.54,20.96,4.24
2020-02-07,29.05,22.05,23.46
2020-02-08,26.54,21.77,11.34
2020-02-09,28.68,21.87,4.81
2020-02-10,30.22,22.79,1.79
2020-02-11,29.89,22.64,1.02
2020-02-12,27.27,23.28,2.92
2020-02-13,30.66,22.54,1.99
2020-02-14,30.92,22.63,20.57
2020-02-15,29.09,22.66,23.63
2020-02-16,30.22,22.48,0.43
2020-02-17,30.92,22.82,0.14
2020-02-18,31.11,23.97,2.22
2020-02-19,28.95,23.55,19.08
2020-02-20,27.72,22.85,3.6
2020-02-21,29.6,21.57,14.56
2020-02-22,28.5,22.35,11.17
2020-02-23,29.43,23.12,4.91
2020-02-24,30.83,21.04,2.54
2020-02-25,28.4,23.33,9.77
2020-02-26,29.04,23.25,3.46
2020-02-27,29.58,23.14,8.94
2020-02-28,30.13,22.94,8.59
2020-02-29,29.05,22.99,4.81
2020-03-01,29.22,22.41,26.99
2020-03-02,29.36,21.95,8.71
2020-03-03,28.0,22.8,12.34
2020-03-04,29.85,21.98,21.7
2020-03-05,26.98,22.51,16.59
2020-03-06,29.58,22.34,10.08
2020-03-07,27.77,22.92,30.83
2020-03-08,29.88,22.05,5.12
2020-03-09,29.73,22.74,31.32
2020-03-10,29.51,22.87,28.36
2020-03-11,27.82,23.33,3.84
2020-03-12,28.94,22.28,10.26
2020-03-13,27.91,22.26,4.83
2020-03-14,29.53,22.05,28.07
2020-03-15,26.01,22.47,42.36
2020-03-16,28.99,21.82,5.5
2020-03-17,29.92,21.94,0.05
2020-03-18,29.9,22.9,5.74
2020-03-19,28.07,23.17,5.22
2020-03-20,25.61,22.17,15.38
2020-03-21,27.82,21.45,0.35
2020-03-22,28.67,21.85,0.52
2020-03-23,29.73,22.26,1.11
2020-03-24,27.62,23.16,29.55
2020-03-25,27.48,22.5,12.54
2020-03-26,29.88,21.03,0.77
2020-03-27,30.02,21.8,17.0
2020-03-28,28.43,22.81,11.06
2020-03-29,30.62,23.35,0.36
2020-03-30,30.68,22.22,2.89
2020-03-31,29.45,22.68,4.15
2020-04-01,27.91,23.1,5.49
2020-04-02,30.08,22.72,2.1
2020-04-03,28.78,23.5,13.73
2020-04-04,30.37,22.83,1.31
2020-04-05,28.76,23.16,4.04
2020-04-06,29.09,23.6,3.17
2020-04-07,29.3,23.32,1.09
2020-04-08,29.11,22.97,15.1
2020-04-09,27.17,22.32,1.45
2020-04-10,29.76,22.31,2.47
2020-04-11,28.64,22.26,8.46
2020-04-12,28.88,22.74,13.88
2020-04-13,27.12,22.75,12.82
2020-04-14,25.36,21.86,45.32
2020-04-15,28.47,20.94,0.16
2020-04-16,28.57,21.46,10.85
2020-04-17,29.17,22.75,22.66
2020-04-18,28.16,22.76,15.32
2020-04-19,29.31,22.39,5.26
2020-04-20,28.23,22.16,10.27
2020-04-21,27.09,21.4,16.22
2020-04-22,28.91,21.18,13.91
2020-04-23,27.05,22.16,5.97
2020-04-24,29.09,21.19,17.06
2020-04-25,28.02,21.9,3.08
2020-04-26,29.58,20.92,0.77
2020-04-27,30.01,21.58,1.23
2020-04-28,28.84,22.53,2.01
2020-04-29,28.38,21.64,0.45
2020-04-30,28.89,22.15,0.44
2020-05-01,29.47,21.35,3.22
2020-05-02,29.45,22.95,1.36
2020-05-03,30.39,22.49,0.49
2020-05-04,29.91,23.41,0.67
2020-05-05,28.27,23.35,0.31
2020-05-06,28.53,22.48,0.01
2020-05-07,29.98,22.66,0.04
2020-05-08,29.23,23.21,0.43
2020-05-09,28.12,22.94,3.16
2020-05-10,29.41,23.14,0.6
2020-05-11,29.05,22.21,0.33
2020-05-12,29.84,22.15,0.16
2020-05-13,30.33,21.95,0.04
2020-05-14,30.17,22.94,0.0
2020-05-15,28.65,23.79,5.36
2020-05-16,28.84,22.84,0.96
2020-05-17,29.23,22.74,1.22
2020-05-18,28.43,23.06,0.65
2020-05-19,29.57,22.79,1.28
2020-05-20,28.77,23.0,0.52
2020-05-21,29.6,23.28,0.85
2020-05-22,29.67,22.95,0.78
2020-05-23,29.54,23.52,0.65
2020-05-24,29.07,22.77,3.94
2020-05-25,27.32,22.99,2.86
2020-05-26,27.34,22.79,1.14
2020-05-27,28.74,22.32,5.32
2020-05-28,29.64,21.79,1.95
2020-05-29,27.27,22.76,0.78
2020-05-30,27.52,22.12,0.01
2020-05-31,28.71,21.63,0.03
2020-06-01,28.58,22.82,0.08
2020-06-02,27.99,22.92,2.23
2020-06-03,29.29,22.02,2.56
2020-06-04,29.42,21.94,1.33
2020-06-05,29.57,21.95,0.66
2020-06-06,29.26,22.14,0.18
2020-06-07,29.72,21.48,0.0
2020-06-08,29.62,21.84,0.04
2020-06-09,29.57,21.99,0.03
2020-06-10,29.1,22.02,0.66
2020-06-11,29.04,21.84,0.55
2020-06-12,29.26,22.12,0.15
2020-06-13,29.28,22.06,0.02
2020-06-14,28.8,22.0,0.0
2020-06-15,29.43,21.57,0.0
2020-06-16,29.5,20.88,0.0
2020-06-17,28.96,21.52,0.0
2020-06-18,29.53,21.19,0.0
2020-06-19,29.17,20.06,0.0
2020-06-20,29.88,20.68,0.12
2020-06-21,29.82,22.14,0.02
2020-06-22,29.6,20.3,0.0
2020-06-23,29.68,21.03,0.13
2020-06-24,28.84,21.36,1.73
2020-06-25,30.06,20.96,0.02
2020-06-26,30.04,21.0,0.0
2020-06-27,30.32,21.16,0.0
2020-06-28,30.58,21.73,0.0
2020-06-29,30.66,21.66,0.12
2020-06-30,29.4,21.99,0.01
2020-07-01,30.16,21.09,0.05
2020-07-02,30.5,21.38,0.01
2020-07-03,30.91,21.61,1.45
2020-07-04,31.17,21.21,0.58
2020-07-05,30.87,21.53,0.0
2020-07-06,31.0,21.45,0.0
2020-07-07,30.02,21.52,0.01
2020-07-08,30.87,21.43,0.0
2020-07-09,31.42,20.86,0.0
2020-07-10,30.8,21.2,0.4
2020-07-11,30.89,21.88,0.52
2020-07-12,31.61,22.37,0.02
2020-07-13,31.5,21.91,0.0
2020-07-14,30.57,22.8,0.09
2020-07-15,31.69,20.95,0.01
2020-07-16,31.68,21.43,0.0
2020-07-17,31.69,21.53,0.33
2020-07-18,31.8,20.11,0.03
2020-07-19,31.86,20.81,0.0
2020-07-20,31.74,20.75,0.0
2020-07-21,31.2,20.08,0.0
2020-07-22,31.47,20.94,0.0
