date,tmax,tmin,prec,rs,rh,u2_obs,eto
2022-01-01,29.47,21.02,3.3,17.04,86.92,0.86,3.4765587202947885
2022-01-02,28.66,22.1,87.19,18.05,88.28,0.79,3.579235111940483
2022-01-03,26.52,22.7,24.35,9.26,92.27,0.85,2.048964549420776
2022-01-04,29.11,21.28,0.86,17.12,86.23,0.8,3.5062214736296307
2022-01-05,28.27,21.77,2.54,14.15,88.16,0.98,2.9702936318848066
2022-01-06,29.01,22.53,12.57,19.64,87.76,1.07,3.88023375278636
2022-01-07,29.16,21.66,2.92,21.79,87.38,0.99,4.184758086146688
2022-01-08,27.94,21.97,0.95,19.75,88.69,0.86,3.773617326858822
2022-01-09,28.76,21.93,1.23,15.83,88.29,0.67,3.2457830424147223
2022-01-10,26.63,22.26,3.11,15.6,89.5,0.43,3.080316967514233
2022-01-11,28.75,21.35,9.75,20.63,89.13,0.75,3.9096588234190897
2022-01-12,26.54,22.42,9.57,11.3,88.03,0.79,2.5146003305759583
2022-01-13,28.54,22.05,1.71,19.08,86.66,0.87,3.787595442386436
2022-01-14,27.61,21.18,5.37,22.27,89.3,0.81,4.065265855420123
2022-01-15,27.76,21.48,11.67,17.73,88.23,0.78,3.4633842049186088
2022-01-16,27.85,20.94,25.02,22.77,87.29,0.59,4.209244773705348
2022-01-17,29.53,21.0,4.54,20.2,87.0,0.8,3.956083638232903
2022-01-18,27.66,21.56,3.46,13.96,90.04,0.82,2.841507668818982
2022-01-19,29.24,20.42,0.33,19.9,88.41,0.92,3.8165995459912603
2022-01-20,29.29,21.45,0.1,22.91,86.98,0.93,4.3721332863354565
2022-01-21,30.16,21.71,0.03,22.32,84.75,0.86,4.436129620127023
2022-01-22,29.42,22.64,1.24,22.18,84.39,0.73,4.425380281897454
2022-01-23,27.71,22.67,10.65,20.71,90.59,0.82,3.8804271594648503
2022-01-24,28.83,22.38,3.96,16.23,87.8,1.06,3.352339866400203
2022-01-25,29.38,21.34,0.23,20.67,86.29,1.07,4.063120593810651
2022-01-26,26.27,21.88,6.05,17.53,91.67,0.79,3.2568904571913873
2022-01-27,27.22,21.94,25.35,6.75,89.23,0.52,1.8123004671091427
2022-01-28,26.61,20.79,1.24,13.94,88.97,0.9,2.8147509251663725
2022-01-29,26.87,20.69,7.38,13.01,89.1,0.84,2.6846962454046537
2022-01-30,27.36,21.1,5.23,20.61,89.45,0.9,3.8081620174690145
2022-01-31,28.65,21.56,6.96,15.37,87.78,0.67,3.18643397501017
2022-02-01,27.96,22.18,2.77,21.25,89.43,0.62,3.996581902861701
2022-02-02,28.98,22.28,2.28,21.09,88.32,0.97,4.0814659712847465
2022-02-03,27.96,22.55,1.52,20.59,89.41,0.8,3.91812669912684
2022-02-04,28.2,22.01,4.54,15.25,87.76,0.5,3.1664320437166373
2022-02-05,29.86,22.37,1.15,15.83,87.56,0.75,3.3555584866982517
2022-02-06,29.46,21.54,2.45,20.81,87.82,0.82,4.0515991959863324
2022-02-07,29.0,22.72,3.18,20.23,87.3,0.8,4.011627905556383
2022-02-08,29.94,22.73,0.73,19.75,84.81,0.48,4.08644077689592
2022-02-09,29.7,22.52,0.94,17.68,84.59,0.73,3.7525450878052222
2022-02-10,27.39,23.04,8.7,19.0,91.87,0.67,3.5843729872488694
2022-02-11,28.87,22.49,2.59,21.95,86.5,0.71,4.282728672282802
2022-02-12,29.29,20.54,2.7,21.24,85.42,1.03,4.141068613838159
2022-02-13,28.54,21.64,5.95,13.54,88.93,0.8,2.8689994648852495
2022-02-14,27.93,21.59,5.8,20.33,87.2,0.96,3.909996535044751
2022-02-15,28.71,21.49,7.16,17.38,88.39,0.88,3.468872298869225
2022-02-16,25.55,22.19,52.4,7.38,94.54,0.87,1.6567525117065525
2022-02-17,26.98,21.36,1.68,21.88,89.75,0.72,3.9788689901430656
2022-02-18,28.91,20.34,1.09,23.8,87.58,0.78,4.408837360620388
2022-02-19,25.74,22.46,23.0,14.2,90.02,0.81,2.840489883527468
2022-02-20,27.5,20.74,5.78,18.42,91.25,0.79,3.4224137554391207
2022-02-21,30.01,20.45,1.03,21.57,87.56,0.87,4.16097162749191
2022-02-22,29.63,22.55,3.88,19.14,87.69,0.98,3.8617545298457654
2022-02-23,28.09,22.7,6.65,17.45,88.97,1.11,3.4769280907561817
2022-02-24,29.19,22.1,1.84,21.26,88.97,0.72,4.093225397430286
2022-02-25,27.45,22.88,1.64,11.48,91.91,0.69,2.4367649374488165
2022-02-26,27.82,22.58,3.41,20.56,92.41,0.81,3.8050210007427103
2022-02-27,29.01,22.34,3.02,21.0,89.28,0.7,4.042462208087134
2022-02-28,27.75,22.14,15.32,19.45,91.56,0.98,3.6404116435768605
2022-03-01,28.0,21.01,3.14,19.7,90.76,0.59,3.6665289882016983
2022-03-02,27.15,22.43,0.49,13.15,91.91,0.71,2.6641067636992504
2022-03-03,27.84,21.61,8.37,18.26,91.01,0.81,3.4611504930429455
2022-03-04,29.45,21.94,6.62,17.58,85.48,0.59,3.6636696360693013
2022-03-05,27.08,22.11,22.57,20.96,91.07,0.7,3.840264646146193
2022-03-06,26.19,20.97,3.98,17.83,91.94,0.78,3.2504901573044855
2022-03-07,29.44,20.55,3.87,18.98,85.62,0.7,3.8053428784055825
2022-03-08,29.47,22.01,2.18,24.91,87.63,0.75,4.706059437885417
2022-03-09,29.73,21.76,3.25,14.95,88.09,0.99,3.1677207768943685
2022-03-10,29.33,21.14,11.71,13.72,86.43,0.73,3.0071915691653532
2022-03-11,26.75,22.67,5.04,16.65,92.21,0.8,3.1634385400412217
2022-03-12,28.27,22.34,1.74,22.82,90.19,0.69,4.231435873443693
2022-03-13,30.0,21.82,1.17,22.33,87.5,0.94,4.338125566768499
2022-03-14,29.87,22.78,0.6,18.91,86.7,0.92,3.8767106994953284
2022-03-15,27.93,22.13,27.39,14.92,89.28,0.84,3.044503872891992
2022-03-16,27.68,20.94,1.7,19.2,89.19,0.87,3.6154353161043855
2022-03-17,28.94,21.83,5.52,20.88,89.27,0.88,3.9799988576129883
2022-03-18,29.03,22.11,14.77,13.17,88.97,0.78,2.835982597754846
2022-03-19,26.38,22.04,2.43,15.0,91.33,0.82,2.905168751690172
2022-03-20,28.6,21.17,1.58,22.52,88.23,0.87,4.199582505350797
2022-03-21,29.98,21.5,0.91,20.24,85.17,0.82,4.073071719726228
2022-03-22,27.5,22.28,12.23,16.76,90.97,0.91,3.2341304622941487
2022-03-23,29.18,21.92,19.2,18.63,90.11,1.14,3.6189289450722537
2022-03-24,29.24,21.95,3.87,19.26,87.55,1.24,3.810516477814135
2022-03-25,29.69,22.24,4.27,19.1,85.21,0.64,3.9098513114067845
2022-03-26,28.85,21.98,1.93,20.0,87.35,1.13,3.903246800831805
2022-03-27,30.21,21.01,4.15,18.83,86.28,0.86,3.8030211824629983
2022-03-28,28.44,22.9,74.25,18.65,91.61,0.82,3.5637139334316
2022-03-29,27.99,22.32,10.81,18.02,90.93,0.8,3.440438083334846
2022-03-30,27.56,21.52,6.79,18.92,88.91,0.55,3.583666617880463
2022-03-31,29.01,22.32,4.14,16.32,89.91,0.56,3.2704828437127462
