Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2003	23.73	26.86	4.76	3.2991
2	1	2003	22.80	30.57	3.53	4.1552
3	1	2003	22.65	31.51	1.34	4.5073
4	1	2003	22.69	31.90	0.00	5.3074
5	1	2003	24.29	32.11	1.08	5.1395
6	1	2003	23.36	31.99	12.06	5.0739
7	1	2003	24.61	32.05	4.71	4.2474
8	1	2003	23.33	32.22	3.03	4.8272
9	1	2003	23.76	31.31	0.53	4.0464
10	1	2003	23.72	32.88	0.78	4.6838
11	1	2003	24.27	32.11	2.70	3.1451
12	1	2003	23.35	31.87	0.73	5.0654
13	1	2003	23.31	32.28	13.31	4.7461
14	1	2003	24.11	30.24	18.91	3.1741
15	1	2003	23.36	31.98	5.12	4.4030
16	1	2003	22.89	31.80	0.23	4.4976
17	1	2003	23.35	31.50	1.57	4.4473
18	1	2003	23.67	31.65	5.54	3.9485
19	1	2003	23.86	27.12	4.09	2.3448
20	1	2003	23.05	29.49	18.29	3.9874
21	1	2003	22.84	27.19	28.07	2.4351
22	1	2003	22.74	30.50	16.09	3.4980
23	1	2003	23.23	29.43	7.47	3.5464
24	1	2003	22.29	29.99	1.05	3.2644
25	1	2003	21.44	30.28	0.09	4.3728
26	1	2003	23.79	30.05	0.56	4.3070
27	1	2003	23.14	29.25	2.66	3.1464
28	1	2003	22.69	27.65	18.31	3.4327
29	1	2003	21.63	29.32	1.15	4.0150
30	1	2003	22.99	27.53	1.76	2.9552
31	1	2003	21.36	29.53	1.43	4.0760
1	2	2003	21.91	29.81	8.14	3.9022
2	2	2003	22.53	29.60	5.13	4.1152
3	2	2003	22.35	28.51	2.40	3.8970
4	2	2003	23.08	30.35	4.96	4.3555
5	2	2003	22.21	30.66	19.85	3.7603
6	2	2003	23.60	28.31	6.98	3.8406
7	2	2003	21.78	30.39	0.85	4.4862
8	2	2003	23.51	31.21	5.03	4.2541
9	2	2003	22.75	28.93	0.49	4.0698
10	2	2003	22.73	30.14	0.79	4.1119
11	2	2003	23.19	30.66	2.15	4.2344
12	2	2003	23.76	30.15	5.90	2.3815
13	2	2003	23.15	28.93	3.11	3.8101
14	2	2003	22.15	30.28	4.38	3.3020
15	2	2003	23.77	30.34	7.91	4.1740
16	2	2003	23.37	29.60	27.81	3.1781
17	2	2003	22.68	26.74	10.31	3.1121
18	2	2003	21.64	30.67	11.16	4.5350
19	2	2003	22.34	29.37	21.22	3.4305
20	2	2003	22.14	29.88	6.47	2.5670
21	2	2003	22.23	29.99	7.65	3.7748
22	2	2003	22.35	27.35	13.64	3.5243
23	2	2003	22.14	30.01	44.75	3.4866
24	2	2003	22.98	28.20	41.59	2.8832
25	2	2003	22.44	28.46	9.38	2.8489
26	2	2003	22.19	29.23	5.07	4.0400
27	2	2003	22.66	30.08	18.83	3.2006
28	2	2003	22.61	28.47	19.20	4.0451
1	3	2003	22.96	29.75	1.73	4.5922
2	3	2003	22.21	30.69	0.89	4.1617
3	3	2003	23.46	29.60	2.19	3.6880
4	3	2003	22.25	29.73	5.41	3.7943
5	3	2003	22.00	29.00	26.30	3.8949
6	3	2003	23.01	28.39	24.04	3.7899
7	3	2003	22.23	29.55	5.22	3.7489
8	3	2003	21.88	30.02	1.57	3.8263
9	3	2003	22.28	30.56	2.23	4.1882
10	3	2003	22.22	30.34	2.71	3.8737
11	3	2003	22.70	30.42	6.48	3.9122
12	3	2003	22.98	29.61	19.77	3.5678
13	3	2003	22.41	30.87	16.61	3.4476
14	3	2003	24.16	30.91	3.62	3.5221
15	3	2003	22.53	28.00	15.68	3.5883
16	3	2003	21.88	29.05	13.43	3.3077
17	3	2003	21.30	28.79	8.49	3.2926
18	3	2003	22.06	29.47	11.97	3.2085
19	3	2003	22.12	29.54	22.03	2.1199
20	3	2003	22.71	28.33	2.34	4.3985
21	3	2003	22.07	30.02	21.14	3.9606
22	3	2003	23.00	27.25	5.56	3.1803
23	3	2003	22.44	27.95	4.56	3.0310
24	3	2003	22.15	30.28	3.24	4.0580
25	3	2003	21.85	30.56	2.81	4.0608
