date,tmax,tmin,prec,rs,rh,u2_obs,eto
2009-01-01,29.9,23.36,11.25,19.37,80.61,1.08,4.193968535631161
2009-01-02,29.7,22.88,0.47,16.99,84.92,1.45,3.6380532729974076
2009-01-03,30.66,23.22,0.07,18.48,79.41,1.43,4.143732921408859
2009-01-04,31.04,22.79,0.0,20.94,74.86,1.22,4.685926352331306
2009-01-05,26.06,21.84,0.07,20.72,87.5,1.39,3.841367219585455
2009-01-06,30.38,21.53,19.82,22.02,82.8,1.43,4.461194870963122
2009-01-07,27.69,20.84,12.36,14.81,90.32,1.52,2.9316013197160915
2009-01-08,29.81,20.01,0.28,22.24,81.68,1.26,4.412802506626192
2009-01-09,30.56,22.21,0.76,22.21,81.29,1.47,4.592472740768284
2009-01-10,31.06,21.89,0.28,18.47,81.66,1.81,4.0275351689574155
2009-01-11,29.59,22.21,15.82,15.77,87.11,1.94,3.3379529089476487
2009-01-12,28.14,22.22,6.4,17.43,86.8,1.01,3.526467482362816
2009-01-13,30.8,21.68,3.28,20.09,81.73,1.14,4.247000585510506
2009-01-14,29.99,23.66,1.91,19.86,84.69,1.26,4.149022535301513
2009-01-15,28.21,23.89,6.86,21.25,86.36,1.03,4.204935751024659
2009-01-16,30.4,22.16,17.39,19.24,84.72,1.5,4.006328517424764
2009-01-17,29.33,22.94,6.99,12.39,83.16,1.12,2.9947353835806783
2009-01-18,30.12,22.79,0.33,20.1,82.71,0.95,4.224323130334762
2009-01-19,27.68,23.59,6.84,17.95,87.15,0.81,3.6313207592507863
2009-01-20,29.75,22.49,11.22,18.18,86.37,1.88,3.760040977546915
2009-01-21,27.84,22.17,11.7,14.95,86.99,1.24,3.138643564877172
2009-01-22,28.65,21.76,12.12,18.45,87.23,1.23,3.675141173378966
2009-01-23,26.3,22.67,15.02,18.11,92.7,0.86,3.3437998421645077
2009-01-24,30.01,22.64,10.86,18.56,86.75,1.42,3.828453016997136
2009-01-25,29.46,20.79,16.36,19.94,86.99,1.89,3.912013910441948
2009-01-26,27.51,22.66,32.48,17.19,88.0,1.23,3.4391603308370184
2009-01-27,30.48,21.77,9.08,20.87,85.28,1.28,4.229278699055554
2009-01-28,30.82,22.78,0.0,20.57,82.57,1.47,4.353376919894792
2009-01-29,30.97,22.12,0.48,22.13,83.19,1.52,4.551134595878352
2009-01-30,29.98,23.35,12.61,17.98,83.45,1.02,3.8935448993876043
2009-01-31,28.2,22.66,7.76,17.19,88.88,1.19,3.4436483383332943
2009-02-01,29.6,21.45,1.36,20.11,85.77,1.22,4.024561033476212
2009-02-02,29.15,22.42,8.7,19.85,85.06,1.23,4.029503966462724
2009-02-03,27.83,22.83,16.42,19.75,89.09,1.31,3.8124727632362028
2009-02-04,29.85,22.41,5.94,20.81,85.78,1.43,4.19573069717462
2009-02-05,30.36,22.81,0.13,22.09,83.81,1.06,4.519146493372234
2009-02-06,29.47,22.99,3.18,18.87,85.85,1.18,3.898972950127195
2009-02-07,29.59,22.82,4.56,17.18,87.99,1.64,3.5564901815777183
2009-02-08,29.99,23.21,0.89,21.47,86.46,1.41,4.32669820870912
2009-02-09,31.85,22.68,0.03,24.47,80.75,1.2,5.10480930575487
2009-02-10,30.42,22.91,2.79,19.47,82.18,1.06,4.181261881679249
2009-02-11,27.59,23.65,4.75,16.63,90.32,1.1,3.3191495526649346
2009-02-12,28.35,22.85,1.62,21.43,89.66,0.9,4.083341121505366
2009-02-13,29.73,21.83,11.34,19.09,86.34,1.27,3.8782110289085816
2009-02-14,29.6,22.94,7.03,18.2,83.31,0.85,3.896143047070507
2009-02-15,28.2,23.03,11.94,8.62,90.59,0.79,2.079982107286495
2009-02-16,27.5,22.39,27.24,17.08,88.83,1.0,3.385612926615115
2009-02-17,27.46,21.86,4.6,13.33,88.02,0.99,2.8393147121874387
2009-02-18,29.57,21.66,36.38,13.52,84.79,1.11,3.0767869936476906
2009-02-19,26.75,22.01,3.31,16.45,86.88,1.31,3.3120778050323034
2009-02-20,30.6,21.43,0.05,17.74,82.73,1.35,3.8410583461325474
2009-02-21,29.38,22.89,7.94,16.31,85.44,1.63,3.5115816892858938
2009-02-22,27.7,22.53,22.94,14.13,89.48,0.92,2.9333330541840734
2009-02-23,29.42,22.53,12.54,17.41,83.69,0.96,3.7326913978899734
2009-02-24,28.14,22.02,3.61,16.04,88.14,1.23,3.2714701361851413
2009-02-25,29.33,22.9,2.16,21.71,85.37,0.79,4.34050321981496
2009-02-26,29.84,22.33,2.86,11.26,85.18,1.19,2.7464551893676497
2009-02-27,30.45,21.76,1.02,18.99,82.92,1.12,4.027676490612375
2009-02-28,29.79,22.45,0.37,18.07,83.77,1.37,3.846182507693354
2009-03-01,29.93,21.56,11.06,17.47,84.44,1.48,3.699486406541042
2009-03-02,26.93,22.98,16.59,15.3,90.5,0.88,3.05162099890831
2009-03-03,30.26,21.72,9.48,15.28,85.9,1.41,3.3321351614074537
2009-03-04,30.43,22.44,1.65,15.12,84.0,1.11,3.4163178426144603
2009-03-05,29.66,23.3,18.02,10.38,87.59,1.52,2.5252572484397025
2009-03-06,29.61,21.91,17.36,13.84,83.36,0.78,3.187683261639204
2009-03-07,29.21,22.69,3.47,21.63,78.86,0.58,4.525891176415112
2009-03-08,30.68,22.63,1.08,21.35,80.68,0.89,4.520629355023634
2009-03-09,29.51,21.9,4.41,17.96,82.1,0.72,3.8450878525353227
2009-03-10,28.57,22.83,4.84,18.69,83.01,0.9,3.906669147277274
2009-03-11,30.74,22.6,2.75,19.99,84.46,1.17,4.175309616945901
2009-03-12,29.15,23.22,4.38,17.96,87.01,1.44,3.6989327569753008
2009-03-13,29.26,22.4,7.05,19.78,86.66,1.04,3.9579309385749215
2009-03-14,30.52,23.74,6.05,16.73,85.5,1.06,3.6583920928632883
2009-03-15,30.13,23.35,1.62,17.24,86.1,1.02,3.6775061246400647
2009-03-16,29.51,22.5,17.43,15.76,89.5,1.53,3.249306008228601
2009-03-17,27.78,22.57,13.49,15.32,85.33,1.51,3.2616005788422076
2009-03-18,28.18,21.63,0.26,18.99,85.84,1.1,3.7615147531205704
2009-03-19,30.61,21.59,0.54,20.75,84.93,1.49,4.207980595890887
2009-03-20,30.79,22.24,2.87,22.61,85.03,1.49,4.536236124737608
2009-03-21,30.68,22.68,0.23,20.22,83.97,1.47,4.215912923279988
2009-03-22,29.29,23.33,7.21,18.54,86.8,1.29,3.7971483727983406
